Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
13	8	5	14	14	8	12	7	36	2	14	88	5	999	13	64	3	12	999	1	1	1	7	999	30	215	15	999	24	24	27	51
19	6	4	15	12	6	13	7	16	2	9	77	4	999	11	999	2	10	999	1	1	1	6	999	17	345	15	999	16	17	999	16
25	7	5	14	1	11	12	7	17	2	9	999	5	999	14	44	3	4	999	1	1	1	7	999	24	38	57	25	54	18	999	15
21	7	6	17	15	9	17	8	13	2	8	77	4	999	14	55	3	4	999	1	1	1	8	999	48	999	14	298	21	20	999	20
23	6	5	19	18	9	12	7	17	2	9	30	5	999	11	556	3	9	999	1	1	1	7	43	31	164	18	999	16	23	999	20
11	7	5	15	1	7	18	7	21	2	8	999	5	999	11	65	2	10	999	1	1	1	8	81	32	22	28	317	40	42	999	19
38	7	5	15	19	8	16	7	27	2	10	26	5	999	12	25	3	7	999	1	1	1	7	999	23	313	15	999	21	28	999	25
31	6	5	14	14	8	9	6	18	2	7	36	4	999	9	97	2	6	999	1	1	1	5	999	29	999	15	999	16	21	20	22
19	8	5	21	1	10	15	7	16	3	11	999	4	999	10	79	2	4	999	1	1	1	7	84	21	18	21	180	16	55	15	999
21	7	5	15	1	9	14	8	23	2	12	999	4	999	12	49	2	4	999	1	1	1	8	32	130	28	43	141	31	100	22	999
22	8	6	44	1	11	19	10	30	2	11	999	5	999	13	70	2	12	999	1	1	1	10	999	267	999	13	999	26	26	17	30
15	7	6	29	14	11	14	9	21	3	12	93	4	999	15	148	3	12	999	1	1	1	9	999	31	999	13	356	23	28	18	34
21	7	5	17	14	8	10	7	12	2	12	58	4	999	16	133	3	8	999	1	1	1	6	26	999	21	34	187	24	44	17	999
39	7	5	16	15	11	9	6	14	2	11	42	4	999	14	70	3	8	999	1	1	1	6	33	77	28	39	222	20	39	21	51
14	6	6	28	1	9	11	8	24	2	7	999	4	999	11	402	2	7	999	1	1	1	8	999	41	999	14	999	20	21	38	44
15	7	5	46	17	8	14	7	19	2	8	40	5	999	13	63	3	7	999	1	1	1	7	999	39	360	18	999	20	23	28	52
25	6	5	12	1	8	10	6	22	2	10	999	4	999	14	77	2	5	999	1	1	1	6	283	95	174	18	717	19	27	45	34
13	6	6	18	1	8	10	7	14	2	9	999	4	999	12	27	2	5	999	1	1	1	6	25	999	26	38	25	57	65	999	31
22	6	6	16	23	8	10	6	40	2	9	25	4	999	13	111	3	13	999	1	1	1	6	999	23	180	17	999	43	24	31	69
38	6	5	16	18	9	11	6	40	2	9	22	5	999	12	134	2	12	999	1	1	1	6	999	24	374	18	999	36	24	508	30
69	7	5	15	13	9	10	6	20	2	11	299	5	999	14	950	3	5	999	1	1	1	6	174	76	999	17	999	19	27	33	50
18	8	5	14	17	9	10	7	21	2	12	40	4	999	12	141	3	4	999	1	1	1	7	724	39	289	17	999	24	30	21	999
22	6	5	13	16	9	9	6	17	2	12	51	4	999	14	437	3	7	999	1	1	1	5	999	61	123	14	999	30	29	32	50
15	7	5	15	16	7	11	6	18	2	10	71	5	999	15	999	3	8	999	1	1	1	6	33	999	51	22	26	999	29	26	37
21	6	5	16	16	8	10	6	18	2	10	53	4	999	10	999	3	6	999	1	1	1	6	25	999	29	75	21	536	76	30	139
16	7	5	22	1	9	11	7	19	2	8	999	5	999	9	110	2	6	999	1	1	1	7	36	22	31	49	22	44	59	30	57
23	7	6	15	19	9	11	6	33	2	11	37	4	999	10	53	3	12	999	1	1	1	6	45	150	43	29	43	40	33	44	999
17	7	6	16	1	11	11	7	20	2	12	999	4	999	11	61	3	13	999	1	1	1	7	24	999	33	49	100	59	67	18	66
13	7	5	23	1	10	11	9	15	2	9	999	5	999	15	93	2	10	999	1	1	1	8	40	30	45	39	27	23	45	5	31
12	8	5	22	1	10	11	9	17	2	9	999	5	999	11	86	2	9	999	1	1	1	8	135	23	999	14	999	17	28	5	34
