Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
2.27e-09	6.11e-09	0	4.22e-09	2.11e-08	1.34e-08	5.4e-08	7.14e-07	0	8.59e-08	0	0	0	2.36e-10	3.72e-09	1.29e-08	2.4e-07	0	2.51e-10	2.11e-08	0	8.59e-08	7.68e-07	0.00014	0	1.67e-05	0	2.98e-05	0	0	0	0
4.83e-09	6.77e-09	0	4.83e-09	2.46e-08	1.3e-08	7.4e-08	7.82e-07	0	9.43e-08	0	0	0	3.12e-09	9.38e-09	1.08e-08	2.14e-07	0	1.77e-09	2.46e-08	0	9.43e-08	8.56e-07	0.000145	0	2.01e-05	0	2.65e-05	0	1.07e-08	0	0
2.65e-10	9.5e-09	0	4.69e-09	2.4e-08	1.46e-08	2.95e-07	1.09e-06	0	9.69e-08	0	0	0	0	3.09e-09	1.18e-08	2.18e-07	4.22e-07	1.06e-09	2.4e-08	0	9.69e-08	1.38e-06	0.000155	0	3.14e-05	0	2.46e-05	0	0	0	0
3.84e-09	8.22e-09	0	4.36e-09	2.34e-08	1.32e-08	2.89e-07	1.02e-06	0	9.16e-08	0	0	0	1.03e-09	3.49e-09	9.19e-09	2.17e-07	0	5.43e-10	2.34e-08	0	9.16e-08	1.31e-06	0.000127	0	1.66e-05	0	2.24e-05	0	0	0	0
5.37e-09	7.06e-09	0	2.68e-09	2.31e-08	1.2e-08	5.37e-08	1.03e-06	3.29e-08	8.48e-08	0	5.18e-09	0	4.52e-10	0	9.22e-09	1.6e-07	0	7.52e-10	2.83e-08	0	8.48e-08	1.08e-06	6.75e-05	0	9.09e-06	0	1.87e-05	0	1.47e-07	0	0
0	8.38e-09	0	4.99e-09	2.31e-08	1.35e-08	0	5.49e-07	1.05e-08	1.01e-07	0	0	0	0	7.61e-09	1.29e-08	3.36e-07	1.49e-06	1.02e-09	2.31e-08	0	1.01e-07	5.49e-07	5.51e-05	0	1.53e-05	1.14e-08	8.75e-06	1.49e-08	3.56e-09	0	1.21e-08
4.16e-10	6.16e-09	0	3.7e-09	1.84e-08	1.04e-08	1.01e-07	9.22e-07	3.53e-08	7.56e-08	2.62e-09	0	0	8.66e-09	3.14e-09	6.48e-09	2.32e-07	9.46e-08	4.63e-10	1.84e-08	0	7.82e-08	1.02e-06	8.72e-05	0	1.55e-05	0	1.51e-05	0	6.52e-08	0	0
1.37e-09	7.22e-09	0	5.08e-09	2.14e-08	1.37e-08	1.25e-07	1.05e-06	0	8.99e-08	0	5.12e-09	0	1.25e-09	4.38e-09	1.27e-08	2.77e-07	6.85e-07	6.35e-10	2.65e-08	0	8.99e-08	1.17e-06	0.000153	0	1.62e-05	0	2.18e-05	0	0	0	0
0	7.96e-09	0	4.2e-09	2.56e-08	1.18e-08	1.57e-07	9.54e-07	0	8.77e-08	0	0	0	0	5.89e-09	1.12e-08	1.7e-07	8.47e-08	1.9e-09	2.56e-08	0	8.77e-08	1.11e-06	0.000138	0	1.51e-05	0	2.66e-05	0	0	0	0
1.36e-09	3.01e-08	0	1.79e-08	2.09e-08	9.74e-09	2.4e-08	8.21e-07	0	8.86e-08	0	9.13e-09	4.36e-07	5.54e-09	2.88e-08	6.25e-09	1.08e-07	0	4.45e-08	3e-08	4.36e-07	8.86e-08	8.45e-07	5.58e-05	0.000104	6.46e-06	0	2.96e-05	0	1.9e-08	0	0
3.78e-09	1e-08	0	4.05e-09	2.2e-08	1.52e-08	3.56e-07	8.71e-07	4.85e-08	9.38e-08	0	0	0	0	1.09e-09	1.11e-08	4.08e-07	0	6.4e-11	2.2e-08	0	9.38e-08	1.23e-06	3.96e-05	0	1.1e-05	9.22e-07	6.32e-06	0	1.6e-07	0	0
5.16e-09	9.33e-09	0	5.21e-09	2.71e-08	1.67e-08	2.53e-07	1.34e-06	0	9.44e-08	0	0	0	0	2.98e-09	1.43e-08	2.97e-07	9.71e-07	7.62e-10	2.71e-08	0	9.44e-08	1.59e-06	0.000137	0	2.51e-05	0	2.29e-05	0	0	0	0
0	4.89e-08	0	9.29e-09	1.36e-08	7.57e-09	1.89e-08	3.4e-07	0	6.4e-08	0	8.9e-09	2.4e-06	1.63e-08	1.71e-08	9.23e-09	2.55e-08	0	4.07e-07	2.25e-08	2.4e-06	6.4e-08	3.58e-07	0.000122	0	1.34e-05	0	7.15e-06	0	1.8e-08	0	0
5.87e-10	1.74e-08	0	1.41e-08	1.5e-08	9.41e-09	2.54e-08	6.27e-07	0	6.67e-08	0	1.1e-08	2.36e-06	6.94e-09	3.37e-08	8.38e-09	6.51e-08	0	3.94e-07	2.6e-08	2.36e-06	6.67e-08	6.53e-07	2.65e-05	0.000102	0	0	1.98e-05	0	1.22e-11	0	0
2.37e-09	5.27e-09	0	3.37e-09	1.46e-08	1.22e-08	5.07e-08	6.08e-07	3.35e-08	7.29e-08	1.9e-10	3.03e-09	0	0	6.11e-10	7.18e-09	2.23e-07	3.13e-07	1.18e-09	1.76e-08	0	7.31e-08	6.58e-07	7.66e-05	0	1.71e-05	0	1.88e-05	0	3.54e-07	0	0
