Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
0	9.82e-09	0	8.51e-09	0	8.14e-09	5.65e-09	7.35e-08	0	6.98e-08	1.41e-09	4.65e-08	0	0	1.02e-08	8.34e-09	9.1e-08	4.55e-08	1.52e-09	4.65e-08	0	7.12e-08	7.91e-08	0	0	5.04e-11	0.000128	4.43e-11	4.65e-05	1.41e-05	7.52e-05	2.48e-05
0	9.8e-09	0	1.08e-08	0	9.43e-09	1.03e-08	7.11e-08	0	7.31e-08	0	5.18e-08	0	0	9.81e-09	1.71e-09	7.16e-08	0	2.55e-09	5.18e-08	0	7.31e-08	8.14e-08	0	3.39e-06	8.72e-07	0.000132	5.47e-07	6.85e-05	1.67e-05	0	4.69e-05
0	1.16e-08	0	1.09e-08	0	1.12e-08	9.82e-09	7.04e-08	0	7e-08	1.4e-09	3.11e-08	9.47e-08	0	1.32e-08	2.58e-09	1.09e-07	0	2.32e-08	3.11e-08	9.47e-08	7.14e-08	8.02e-08	4.9e-05	0	1.81e-05	0.000132	1.43e-05	4.51e-06	4.45e-05	6.74e-05	0
0	8.11e-09	0	8.79e-09	0	7.48e-09	5.64e-09	6.86e-08	8.38e-09	6.68e-08	2.64e-09	0	1.32e-07	0	1.09e-08	2.27e-09	5.84e-08	0	2.03e-08	0	1.32e-07	6.94e-08	7.42e-08	3.63e-05	0	1.23e-05	0.000124	7.97e-06	5.59e-05	2.89e-05	5.45e-05	3.34e-05
0	9.42e-09	0	9.1e-09	0	7.92e-09	8.32e-09	6.03e-08	9.25e-09	6.02e-08	7.87e-09	5.12e-08	0	0	1.19e-08	7.28e-09	1.99e-07	0	7.85e-09	5.12e-08	0	6.81e-08	6.87e-08	1.72e-05	0	5.99e-06	0.000134	4.59e-06	6.33e-05	3.83e-05	4.28e-05	0
0	8.1e-09	0	9.37e-09	0	8.88e-09	7.37e-09	7e-08	4.29e-09	6.74e-08	3.12e-09	2.61e-08	5.04e-08	0	1.02e-08	1.11e-08	1.25e-07	0	1.65e-08	2.61e-08	5.04e-08	7.05e-08	7.74e-08	1.72e-05	6.62e-06	7.78e-06	0.000123	5.43e-06	6.86e-05	2.95e-05	4.32e-05	0
0	1.25e-08	0	1.06e-08	0	9.42e-09	9.23e-09	7.72e-08	9.5e-09	7.1e-08	6.22e-11	0	2e-07	0	1.38e-08	6.54e-09	1.15e-07	0	2.55e-08	0	2e-07	7.1e-08	8.65e-08	0	0	0	0.000122	5.4e-07	0	2.66e-05	8.58e-05	3.75e-05
0	1.01e-08	0	1.12e-08	0	8.74e-09	9.22e-09	7.2e-08	0	6.77e-08	7.98e-09	5.91e-08	0	0	1.31e-08	1.13e-08	1.52e-07	0	8e-09	5.91e-08	0	7.56e-08	8.13e-08	0.000102	0	2.78e-05	0.000123	1.62e-05	1.44e-05	5.92e-06	3.67e-06	1.66e-05
0	1.14e-08	0	9.45e-09	0	9.4e-09	1.02e-08	6.68e-08	0	6.76e-08	0	6.33e-08	0	0	1.31e-08	1.35e-08	1.09e-07	0	1.08e-08	6.33e-08	0	6.76e-08	7.7e-08	6e-05	0	1.8e-05	0.000127	1.17e-05	3.18e-05	1.37e-05	0	8.75e-05
0	9.68e-09	0	9.27e-09	0	8.41e-09	1.13e-08	6.14e-08	1e-08	6.51e-08	2.93e-09	3.64e-08	4.44e-08	0	1.15e-08	4.82e-09	6.8e-08	0	6.56e-09	3.64e-08	4.44e-08	6.8e-08	7.27e-08	0	2.22e-06	3.53e-07	0.000127	7.54e-07	6.5e-05	3.06e-05	0	3.22e-05
