Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
NaN	Inf	NaN	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	Inf	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf
NaN	Inf	NaN	Inf	NaN	Inf	Inf	Inf	NaN	Inf	NaN	Inf	NaN	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf
0	0.122492080253432	0	0.115100316789863	0	0.118268215417107	0.103695881731785	0.743400211193242	0	0.739176346356917	0.0147835269271383	0.328405491024287	1	0	0.139387539598733	0.0272439281942978	1.15100316789863	0	0.244984160506864	0.328405491024287	1	0.753959873284055	0.84688489968321	517.423442449842	0	191.129883843717	1393.87539598733	151.003167898627	47.6240760295671	469.904963041183	711.721224920803	0
0	0.0614393939393939	0	0.0665909090909091	0	0.0566666666666667	0.0427272727272727	0.51969696969697	0.0634848484848485	0.506060606060606	0.02	0	1	0	0.0825757575757576	0.0171969696969697	0.442424242424242	0	0.153787878787879	0	1	0.525757575757576	0.562121212121212	275	0	93.1818181818182	939.393939393939	60.3787878787879	423.484848484848	218.939393939394	412.878787878788	253.030303030303
NaN	Inf	NaN	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	NaN
0	0.160714285714286	0	0.185912698412698	0	0.176190476190476	0.146230158730159	1.38888888888889	0.0851190476190476	1.33730158730159	0.0619047619047619	0.517857142857143	1	0	0.202380952380952	0.220238095238095	2.48015873015873	0	0.327380952380952	0.517857142857143	1	1.39880952380952	1.53571428571429	341.269841269841	131.349206349206	154.365079365079	2440.47619047619	107.738095238095	1361.11111111111	585.31746031746	857.142857142857	0
0	0.0625	0	0.053	0	0.0471	0.04615	0.386	0.0475	0.355	0.000311	0	1	0	0.069	0.0327	0.575	0	0.1275	0	1	0.355	0.4325	0	0	0	610	2.7	0	133	429	187.5
NaN	Inf	NaN	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	Inf	NaN	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf
NaN	Inf	NaN	Inf	NaN	Inf	Inf	Inf	NaN	Inf	NaN	Inf	NaN	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf
0	0.218018018018018	0	0.208783783783784	0	0.189414414414414	0.254504504504505	1.38288288288288	0.225225225225225	1.46621621621622	0.065990990990991	0.81981981981982	1	0	0.259009009009009	0.108558558558559	1.53153153153153	0	0.147747747747748	0.81981981981982	1	1.53153153153153	1.63738738738739	0	50	7.95045045045045	2860.36036036036	16.981981981982	1463.96396396396	689.189189189189	0	725.225225225225
0	0.0595375722543353	0	0.0549132947976879	0	0.0317919075144509	0.0514450867052023	0.391907514450867	0.0165895953757225	0.382658959537572	0	0	1	0	0.0710982658959537	0.0401734104046243	0.490173410404624	0	0.124277456647399	0	1	0.382658959537572	0.443352601156069	137.57225433526	0	42.4277456647399	705.202312138728	34.393063583815	379.768786127168	173.988439306358	280.346820809249	18.728323699422
NaN	NaN	NaN	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	NaN
NaN	Inf	NaN	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf
NaN	Inf	NaN	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf
0	0.771428571428571	0	0.607142857142857	0	0.461428571428571	0.735714285714286	4.46428571428571	0.764285714285714	4.05714285714286	0	3.86428571428571	1	0	0.871428571428571	0.56	15.0714285714286	0	0.278571428571429	3.86428571428571	1	4.05714285714286	5.2	0	0	0	7014.28571428571	0.00501428571428571	3800	1057.14285714286	637.857142857143	3907.14285714286
0	0.218471337579618	0	0.214968152866242	0	0.227388535031847	0.219108280254777	1.90764331210191	0.0684713375796178	1.62420382165605	0.148089171974522	0.82484076433121	1	0	0.280254777070064	0.064968152866242	1.45222929936306	0	0.16624203821656	0.82484076433121	1	1.77070063694267	2.12738853503185	0	0	0	3280.25477707006	3.59872611464968	751.592356687898	681.528662420382	557.324840764331	1675.15923566879
NaN	Inf	NaN	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf	NaN	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	NaN	NaN	Inf	Inf	Inf	Inf	Inf	NaN
NaN	Inf	NaN	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf
NaN	Inf	NaN	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	NaN	NaN	Inf	Inf	Inf	Inf	Inf	NaN
NaN	Inf	NaN	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN
