Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf
758.18373812038	1763.46356916579	3780.35902851109	913.410770855333	1562.82998944034	621.964097148891	2312.56599788807	7824.7096092925	543.822597676874	10876.4519535375	1964.09714889124	0	4234.42449841605	0	851.108764519535	159.450897571278	5670.53854276663	567.053854276663	0	1562.82998944034	8014.78352692714	12882.787750792	10137.2756071806	0	619.852164730729	803.590285110877	812.038014783527	1024.28722280887	957.761351636748	1784.58289334741	0	3643.08342133052
588.636363636364	1189.39393939394	2295.45454545455	534.090909090909	939.393939393939	506.060606060606	1045.45454545455	4727.27272727273	459.848484848485	7287.87878787879	1590.90909090909	183.333333333333	3053.0303030303	0	540.151515151515	81.8181818181818	3689.39393939394	384.848484848485	0	1121.21212121212	5348.48484848485	8863.63636363636	5772.72727272727	0	199.242424242424	0	1734.84848484848	56.8939393939394	1628.78787878788	1053.0303030303	0	1431.81818181818
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf
3174.60317460317	2876.98412698413	6904.7619047619	1444.44444444444	3214.28571428571	1771.8253968254	2420.63492063492	13710.3174603175	912.698412698413	20238.0952380952	3849.20634920635	0	7658.73015873016	0	1952.38095238095	192.063492063492	11805.5555555556	333.333333333333	0	3214.28571428571	14563.4920634921	24007.9365079365	16130.9523809524	1438.49206349206	1011.90476190476	1436.50793650794	2222.22222222222	118.253968253968	1890.87301587302	1095.2380952381	0	3591.26984126984
233	860	1705	429.5	418	393	780	3830	160.5	4895	725	301.5	1915	0	485	138	3100	140.5	0	720	3620	5600	4605	0	232	30.5	865	0	970	367	0	575
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN
1921.17117117117	3603.6036036036	8243.24324324324	1799.54954954955	3738.73873873874	1662.16216216216	3828.82882882883	14031.5315315315	988.738738738739	23648.6486486486	2500	0	9797.2972972973	0	2108.10810810811	310.810810810811	14459.4594594595	1171.17117117117	0	3738.73873873874	18018.018018018	26126.1261261261	17860.3603603604	9256.75675675676	1114.86486486486	3333.33333333333	2180.18018018018	529.279279279279	3175.67567567568	763.513513513513	5990.99099099099	0
549.71098265896	867.052023121387	2005.78034682081	177.456647398844	1017.34104046243	432.947976878613	849.71098265896	3485.54913294798	236.416184971098	5664.73988439306	901.734104046243	0	2722.54335260116	0	647.398843930636	64.7398843930636	3589.59537572254	102.312138728324	0	1017.34104046243	4728.32369942197	6589.59537572254	4335.26011560694	37.3988439306358	48.2080924855491	0	1254.33526011561	0	959.537572254335	612.71676300578	1878.61271676301	832.369942196532
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	NaN
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
8000	11142.8571428571	19428.5714285714	2628.57142857143	8000	4971.42857142857	14142.8571428571	39071.4285714286	1885.71428571429	56214.2857142857	10285.7142857143	0	26928.5714285714	0	5492.85714285714	99.2857142857143	36000	1607.14285714286	0	8000	46357.1428571429	66500	53142.8571428571	0	1778.57142857143	0	13285.7142857143	0	13142.8571428571	8428.57142857143	6014.28571428571	3292.85714285714
3095.54140127389	4426.75159235669	10350.3184713376	703.821656050955	2617.83439490446	2082.8025477707	4394.90445859873	19522.2929936306	1175.15923566879	24872.6114649682	4171.97452229299	1124.20382165605	9968.15286624204	0	1885.35031847134	257.96178343949	15859.872611465	652.866242038216	0	3757.96178343949	20318.4713375796	29044.5859872611	23917.1974522293	0	2117.83439490446	268.789808917197	6114.64968152866	0	6019.10828025478	3630.57324840764	4203.82165605096	1528.66242038217
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf
