Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
0	0	0	3.73e-08	0	4.51e-08	1.49e-08	3.15e-07	7.06e-08	3.09e-07	0	2.88e-07	0	0	1.02e-07	1.47e-07	2.06e-07	0	1.03e-08	2.88e-07	0	3.09e-07	3.29e-07	0	0	7.25e-12	0.000125	5.85e-11	0	1.72e-05	2.51e-05	5.54e-05
0	0	0	3.82e-08	0	3.67e-08	1.35e-08	2.82e-07	4.38e-08	3.29e-07	0	6.61e-08	0	0	2.82e-08	1.78e-07	0	0	5.95e-09	6.61e-08	0	3.29e-07	2.95e-07	0	0	1.53e-07	0.000134	1.68e-07	3.58e-05	3.08e-05	2.96e-05	3.56e-05
0	0	0	3.84e-08	0	2.89e-08	1.88e-08	2.56e-07	0	3.03e-07	2.47e-08	1.4e-07	0	0	7.14e-08	1.31e-07	0	0	6.89e-09	1.4e-07	0	3.28e-07	2.75e-07	1.7e-05	3.66e-06	7.55e-06	0.000134	3.52e-06	2.28e-05	4.98e-05	6.04e-05	2.69e-05
0	5.73e-09	0	3.94e-08	0	2.72e-08	1.36e-08	2.49e-07	0	2.88e-07	1.67e-08	1.07e-07	0	0	3.52e-08	1.29e-07	0	0	3.44e-09	1.07e-07	0	3.04e-07	2.63e-07	2.88e-05	0	9.06e-06	0.000123	4.89e-06	1.55e-05	3.99e-05	4.93e-05	1.9e-05
0	0	0	3.28e-08	0	3.56e-08	2.44e-08	2.29e-07	0	2.95e-07	2.47e-08	0	0	0	6.75e-08	1.12e-07	3.59e-07	0	3.7e-09	0	0	3.19e-07	2.54e-07	2.23e-05	1.08e-05	9.27e-06	0.00012	5.06e-06	5.7e-05	4.33e-05	2.5e-05	0
0	0	0	3.18e-08	0	2.8e-08	1.2e-08	2.62e-07	0	3.22e-07	0	4.72e-08	0	0	2.48e-08	1.42e-07	1.86e-07	0	1.76e-08	4.72e-08	0	3.22e-07	2.74e-07	8.26e-05	0	2.89e-05	0.000119	1.34e-05	8.92e-05	3.42e-05	2.08e-05	4.84e-05
0	0	0	3.9e-08	0	3.14e-08	2.52e-08	2.7e-07	0	2.83e-07	3.36e-08	1.22e-07	0	0	6.81e-08	1.45e-07	1.32e-07	0	2.25e-09	1.22e-07	0	3.17e-07	2.95e-07	0	0	5.77e-07	0.000135	2e-07	0	3.47e-05	5.8e-05	8.04e-06
0	0	0	4.33e-08	0	3.25e-08	2.27e-08	2.74e-07	5.2e-08	3.4e-07	0	1.21e-07	0	0	4.81e-08	1.66e-07	4e-07	0	3.48e-09	1.21e-07	0	3.4e-07	2.96e-07	0	0	0	0.00014	1.8e-07	0	3.3e-05	7.36e-06	0
0	0	0	3.34e-08	0	2.83e-08	2.28e-08	2.52e-07	0	2.89e-07	1.5e-08	1.05e-07	0	0	5.11e-08	1.1e-07	4.64e-07	1.87e-07	9.04e-09	1.05e-07	0	3.04e-07	2.75e-07	1.94e-05	0	4.29e-06	0.000135	4.53e-06	2.23e-05	4.88e-05	0	4.34e-05
0	2.84e-08	0	3.39e-08	0	2.42e-08	1.79e-08	2.56e-07	1.4e-08	2.87e-07	6.32e-10	1.57e-07	0	0	4.03e-08	1.65e-07	0	0	3.38e-09	1.57e-07	0	2.88e-07	2.74e-07	8.61e-06	1.12e-05	7.46e-06	0.000131	3.83e-06	8.85e-06	3.06e-05	1.08e-05	0
