Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
30	15	7	19	23	9	10	8	30	2	20	18	6	28	14	22	3	12	999	1	1	1	7	20	999	24	76	54	49	165	999	31
209	13	7	17	22	9	11	8	44	2	32	27	6	35	13	27	3	14	999	1	1	1	7	19	999	38	39	999	36	25	999	86
23	13	6	11	15	11	10	7	22	2	17	4	5	999	24	46	3	4	999	1	1	1	6	999	22	999	17	999	55	18	23	32
22	12	6	15	16	13	12	7	18	2	12	5	6	999	27	42	3	5	999	1	1	1	7	999	31	196	19	999	48	18	999	27
26	22	6	11	16	8	12	6	25	2	13	3	5	999	17	999	2	11	999	1	1	1	6	6	999	51	21	999	105	16	41	27
25	16	7	12	20	9	17	9	20	2	15	6	6	138	18	27	3	14	999	1	1	1	8	29	999	25	57	999	194	93	26	13
34	13	6	10	16	10	11	6	21	2	16	9	6	21	12	25	2	7	999	1	1	1	6	29	999	46	16	126	17	36	154	28
24	14	7	11	12	9	11	6	24	2	11	3	5	999	17	33	2	6	999	1	1	1	6	26	999	20	421	72	112	999	51	96
23	16	5	17	27	13	12	7	36	2	17	20	6	173	13	135	3	5	999	1	1	1	7	35	999	55	21	186	48	29	12	37
22	22	7	18	18	13	12	12	22	2	20	33	7	30	14	999	3	5	999	2	1	1	10	19	999	30	75	999	31	104	260	83
29	12	8	26	1	10	12	11	39	2	14	999	6	999	19	29	2	13	999	1	1	1	10	29	999	26	35	49	135	130	20	31
15	23	7	17	16	11	15	9	28	2	18	4	5	999	16	999	2	13	999	1	1	1	8	25	999	30	70	210	48	124	20	999
24	19	6	13	17	10	11	8	27	2	16	3	6	104	22	63	3	8	999	1	1	1	7	25	20	27	182	151	44	84	22	999
21	22	6	10	12	11	10	6	16	2	13	2	5	375	27	36	3	8	999	1	1	1	6	23	23	30	44	999	18	62	21	999
21	13	7	16	18	9	10	7	28	2	18	17	5	27	13	169	3	8	999	1	1	1	7	23	999	83	21	207	50	18	999	284
23	10	7	14	10	9	10	7	37	2	11	3	5	999	25	212	3	6	999	1	1	1	6	23	999	25	196	123	156	521	105	999
34	13	7	11	21	10	11	7	24	2	19	8	6	30	17	25	3	7	999	1	1	1	6	19	999	24	91	266	64	116	999	85
41	13	7	18	19	9	11	7	36	2	16	13	6	23	14	28	3	16	999	2	1	1	6	20	999	21	157	56	999	999	999	999
38	11	6	16	13	8	11	7	38	2	15	3	6	75	24	41	3	13	999	2	1	1	6	19	999	24	480	138	345	999	999	999
35	17	7	11	9	8	10	7	28	2	12	2	5	999	23	384	3	5	999	1	1	1	6	20	999	15	999	153	999	999	378	108
36	14	7	13	11	8	10	7	40	2	15	3	5	999	26	237	3	5	999	1	1	1	6	18	999	16	999	105	394	999	523	999
26	13	6	11	12	8	9	6	23	2	20	3	5	999	30	133	3	8	999	1	1	1	5	37	37	26	37	132	999	112	37	999
26	15	7	11	16	10	9	6	27	2	18	3	6	999	22	31	3	9	999	1	1	1	5	20	19	20	388	161	999	107	999	999
22	13	6	20	21	9	13	10	30	2	12	35	5	42	9	43	3	15	999	1	1	1	8	26	999	31	84	48	46	143	30	26
19	13	8	16	22	11	14	10	29	2	14	33	6	35	15	53	3	20	999	1	1	1	9	28	999	32	75	142	34	99	33	10
24	13	10	14	27	13	13	8	29	2	22	29	6	54	17	29	3	21	999	2	1	1	8	17	999	24	94	156	41	161	999	999
21	16	8	15	18	13	12	9	39	2	16	4	6	999	20	47	3	28	999	2	1	1	8	14	999	16	999	999	999	129	17	999
18	16	6	16	27	12	11	9	21	2	15	16	6	142	16	34	2	11	999	1	1	1	8	32	13	45	53	999	27	46	12	999
15	16	6	14	18	15	10	7	19	2	15	4	6	165	21	72	2	11	999	2	1	1	6	31	14	768	24	999	15	26	6	11
