Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
999	11	16	99	999	8	36	52	8	37	999	999	39	5	127	12	4	999	265	999	2	37	36	999	999	999	999	999	999	999	999	999
999	11	21	115	999	10	31	21	9	14	32	103	21	5	106	13	4	999	261	103	2	13	18	999	999	999	999	999	999	999	999	999
999	13	16	122	999	8	37	17	6	13	15	999	11	5	107	12	4	999	261	999	1	11	17	999	999	999	999	999	999	999	999	187
999	14	2	124	999	13	29	23	6	18	25	999	999	6	55	12	4	999	322	999	2	16	20	999	999	999	999	999	999	999	999	651
999	9	16	125	999	8	34	24	7	16	25	999	13	5	112	16	4	999	263	999	1	15	21	999	999	999	999	999	999	999	999	999
999	14	13	113	999	12	24	19	7	21	20	999	44	5	62	14	4	999	286	999	2	18	16	999	999	999	999	999	999	999	999	999
999	9	11	112	999	7	39	25	10	20	34	999	15	5	71	12	4	999	267	999	1	19	22	999	999	999	999	999	999	999	999	999
999	10	11	116	999	8	26	22	7	15	18	999	12	5	134	13	4	999	259	999	1	14	18	999	999	999	999	999	999	999	999	999
999	14	18	119	999	9	49	30	7	17	22	106	13	6	143	9	4	999	253	106	2	15	27	999	999	999	999	999	999	999	999	999
999	15	2	104	999	10	40	36	9	30	63	999	999	6	64	12	4	999	269	999	2	29	30	999	999	999	87	999	87	253	999	331
999	16	14	107	999	12	40	35	6	206	62	52	28	5	98	10	4	999	271	52	2	128	30	999	999	999	999	999	999	999	999	999
999	10	34	111	999	9	33	17	10	13	19	999	18	5	105	28	4	999	267	999	2	12	16	999	999	999	338	999	212	999	999	225
999	14	16	114	999	10	31	21	9	18	23	999	24	5	105	14	5	999	258	999	2	16	18	999	999	999	999	999	999	999	999	999
999	11	13	118	999	8	37	22	9	17	24	999	11	6	101	20	5	999	277	999	2	16	20	999	999	999	999	999	999	999	999	999
92	9	14	119	999	6	37	36	7	17	270	999	31	4	93	14	4	999	258	999	2	17	29	999	999	999	999	999	999	999	999	162
63	10	13	118	999	8	46	28	9	17	42	999	31	4	123	11	4	999	263	999	2	17	25	999	999	999	999	999	999	999	999	999
999	9	11	125	999	7	39	21	7	14	20	999	15	4	143	13	4	999	257	999	1	12	20	999	999	999	999	999	999	999	999	999
999	10	20	116	999	7	42	28	8	14	25	999	12	5	118	11	4	999	289	999	2	13	25	999	999	999	999	999	999	999	999	999
999	11	11	107	999	9	42	63	10	17	231	999	14	5	165	13	4	999	267	999	2	17	42	999	999	999	999	999	999	999	999	999
999	11	14	117	999	7	40	28	11	14	31	999	13	5	170	18	5	999	246	999	2	13	24	999	999	999	999	999	999	999	999	999
999	10	23	114	999	8	36	20	11	13	18	999	24	5	211	16	5	999	288	999	2	12	18	999	999	999	368	999	999	999	999	106
999	8	10	126	999	8	27	20	8	14	25	999	8	5	386	15	5	999	252	999	1	13	17	999	999	999	999	999	999	999	999	905
999	9	24	114	999	7	33	22	7	15	17	999	11	5	136	14	5	999	253	999	2	13	20	999	999	999	999	999	999	999	999	999
999	10	19	121	999	9	42	23	8	17	71	999	25	5	306	15	4	999	264	999	2	16	21	999	999	999	999	999	999	999	999	999
999	12	14	116	999	9	41	46	8	19	24	999	21	5	225	13	4	999	269	999	2	17	35	999	999	999	999	999	999	999	999	999
999	12	8	118	999	9	45	28	9	29	27	999	148	5	68	16	4	999	323	999	2	25	25	999	999	999	999	999	999	999	999	999
999	12	20	112	999	9	42	35	11	18	30	999	16	4	115	19	6	999	269	999	2	16	29	999	999	999	999	999	999	999	999	999
999	11	23	116	999	8	36	22	7	14	17	999	17	4	148	12	4	999	257	999	2	12	20	999	999	999	999	999	999	999	999	999
999	10	16	122	999	9	29	19	8	13	28	999	40	5	76	15	4	999	272	999	2	12	17	999	999	999	999	125	999	999	999	999
