Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
999	999	999	8	999	14	53	3	43	1	999	58	999	999	59	19	153	999	751	58	999	1	3	999	999	999	3	999	999	57	49	26
999	999	999	7	999	15	53	4	71	1	999	135	999	999	86	15	999	999	999	135	999	1	3	999	999	999	3	856	64	34	45	30
999	999	999	7	999	18	36	4	999	2	15	110	999	999	76	20	999	999	999	110	999	1	3	213	217	133	8	170	103	30	27	41
999	412	999	7	999	20	56	4	999	2	31	97	999	999	67	22	999	999	999	97	999	1	4	82	999	87	4	100	147	32	27	53
999	999	999	8	999	14	27	4	999	1	10	999	999	999	75	22	79	999	999	999	999	1	3	147	74	104	4	115	39	31	50	999
999	999	999	9	999	20	63	4	999	1	999	174	999	999	90	20	165	999	686	174	999	1	3	25	999	37	11	53	24	42	58	16
999	999	999	7	999	18	30	4	999	2	12	117	999	999	67	18	224	999	999	117	999	1	3	999	999	454	7	918	999	32	22	132
999	999	999	6	999	17	32	4	55	1	999	112	999	999	89	16	74	999	999	112	999	1	3	999	999	999	3	999	999	30	151	999
999	999	999	9	999	20	32	4	999	2	24	141	999	999	94	24	67	262	999	141	999	1	4	95	999	194	4	120	103	26	999	27
999	72	999	9	999	25	45	4	389	2	813	59	999	999	51	19	999	999	999	59	999	1	4	351	84	116	8	136	257	51	131	999
999	999	999	8	999	18	30	4	999	2	45	86	999	999	65	999	87	999	687	86	999	1	3	37	999	53	11	49	48	46	219	999
999	999	999	11	999	20	24	5	133	1	999	63	999	999	52	26	97	999	999	63	999	1	4	57	999	71	5	78	55	34	999	62
999	999	999	8	999	16	24	4	999	2	300	91	999	999	140	18	110	420	999	91	999	1	3	999	999	999	7	999	70	42	999	39
999	999	999	9	999	17	23	4	999	1	13	176	999	999	105	15	133	999	999	176	999	1	3	999	260	311	6	305	24	41	999	15
999	999	999	7	999	12	18	3	61	1	999	112	999	999	168	18	999	377	750	112	999	1	3	999	999	999	3	999	93	68	59	21
999	999	999	7	999	12	21	4	178	1	999	100	999	999	88	16	51	999	999	100	999	1	3	999	999	999	3	999	199	177	86	35
999	999	999	7	999	13	25	4	56	2	158	138	999	999	92	13	146	999	999	138	999	1	3	999	999	999	3	999	68	31	91	50
999	999	999	7	999	10	29	3	61	1	999	41	999	999	78	17	114	999	999	41	999	1	3	999	999	999	3	999	172	62	999	999
999	999	999	7	999	10	21	3	45	1	999	63	999	999	96	20	94	999	999	63	999	1	3	999	999	999	3	999	196	43	999	999
999	999	999	8	999	15	22	4	62	1	999	49	999	999	126	19	60	999	999	49	999	1	3	999	999	999	3	542	81	33	109	27
999	999	999	8	999	18	19	4	999	1	999	123	999	999	72	17	63	999	999	123	999	1	3	999	999	999	3	999	27	33	999	26
999	999	999	7	999	14	18	3	96	1	999	113	999	999	76	16	40	999	999	113	999	1	3	999	999	999	3	999	179	48	42	71
999	999	999	7	999	18	26	4	999	2	15	51	999	999	91	14	999	999	999	51	999	1	3	999	999	999	3	999	730	46	999	999
999	999	999	10	999	15	30	4	322	2	13	62	999	999	79	16	52	999	926	62	999	1	3	77	999	106	5	96	49	40	999	34
999	999	999	8	999	17	164	4	67	2	132	160	999	999	150	13	75	618	999	160	999	1	4	999	999	999	4	999	55	39	999	26
999	999	999	9	999	21	54	4	321	3	75	161	999	999	123	23	999	999	999	161	999	1	4	999	999	999	3	999	281	71	53	19
999	201	999	14	999	31	52	4	999	1	999	473	999	999	106	15	33	999	999	473	999	1	4	22	133	14	24	999	999	43	27	126
999	999	999	8	999	13	20	4	999	2	20	54	999	999	65	21	93	999	884	54	999	1	3	999	60	131	7	156	35	33	999	17
999	999	999	9	999	17	25	4	999	2	15	133	999	999	122	18	48	999	999	133	999	1	4	999	46	100	7	111	27	25	999	18
