Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
9.11e-05	0.000142	0.000329	7.47e-05	7.21e-05	8.1e-05	0.000267	0.00069	5.04e-05	0.00108	7.59e-05	8.79e-05	0.000393	0.000158	9.08e-05	6.61e-05	0.00061	1.74e-05	0	0.00016	0.000722	0.00116	0.000957	0.000412	0	0.000153	4.84e-05	5.18e-05	8.34e-05	1.48e-05	0	7.36e-05
1.35e-05	0.000168	0.000332	8.86e-05	9.09e-05	8.46e-05	0.000271	0.000708	3.39e-05	0.00119	5.22e-05	7.46e-05	0.000388	0.000133	9.34e-05	5.57e-05	0.000632	1.5e-05	0	0.000165	0.00072	0.00124	0.000979	0.000215	0	9.48e-05	0.000111	0	0.000115	0.000104	0	2.65e-05
0.000108	0.000149	0.000332	0.000118	2.77e-05	6.05e-05	0.000255	0.000675	6.43e-05	0.00118	8.53e-05	0.000138	0.000418	0	4.87e-05	3.43e-05	0.000541	5.15e-05	0	0.000166	0.000751	0.00127	0.00093	0	4.47e-05	5.23e-07	0.000253	0	7.21e-05	0.000166	0.000215	0.000103
0.000117	0.000165	0.000353	9.26e-05	3.63e-05	5.3e-05	0.000218	0.000695	8.97e-05	0.00106	0.000123	0.000122	0.000357	0	4.55e-05	3.97e-05	0.000503	4.63e-05	0	0.000159	0.000711	0.00118	0.000913	0	8.92e-05	2.17e-05	0.00022	0	8.04e-05	0.000161	0	8.89e-05
9.35e-05	8.44e-05	0.000329	0.00012	2.55e-05	7.49e-05	0.000209	0.000704	5.23e-05	0.00111	0.0001	0.000152	0.00037	0	6.48e-05	0	0.000593	1.61e-05	0	0.000177	0.000699	0.00121	0.000913	0.000278	0	9.29e-05	0.000241	0	3.45e-05	0.000165	0.000101	0.000114
0.000117	0.000137	0.000343	0.00013	3.98e-05	8.31e-05	0.000159	0.000631	8.65e-05	0.00113	0.000108	0.00014	0.000376	3.64e-05	7.77e-05	5.74e-05	0.000614	1.57e-05	0	0.000179	0.000719	0.00124	0.00079	0.000335	0	0.000108	5.53e-05	2.37e-06	2.37e-05	2.63e-05	0.000185	0.000109
8.03e-05	0.000163	0.000374	0.000143	5.45e-05	7.2e-05	0.000269	0.00083	7.69e-05	0.00104	8.92e-05	0.000108	0.000359	0.00022	0.000113	6.01e-05	0.00066	3.37e-05	0	0.000162	0.000733	0.00113	0.0011	0.000221	0	6.38e-05	0.000195	1.54e-05	0.000216	6.85e-05	3.19e-05	8.45e-05
0.000112	0.000153	0.000338	0.000135	2.94e-05	7.84e-05	0.000238	0.000766	5.93e-05	0.00116	0.000118	0.000145	0.000426	0	7.3e-05	4.2e-05	0.000666	3.36e-05	0	0.000175	0.000765	0.00128	0.001	0.000386	0	0.000154	7.45e-06	3.48e-05	3.98e-05	0	7.78e-05	2.47e-05
0.000118	0.000133	0.000407	8.25e-05	7.27e-05	5.42e-05	0.00022	0.000705	3.95e-05	0.00109	7.9e-05	9.89e-05	0.000398	2.79e-05	9.76e-05	1.13e-05	0.000652	4.83e-05	0	0.000172	0.000805	0.00117	0.000925	0.000337	0	8.81e-05	0.000229	1.56e-05	8.99e-05	0.000139	0.000311	6.93e-05
0.000138	0.000107	0.00037	8.77e-05	0.000109	6.16e-05	0.000257	0.000447	7.99e-05	0.001	9.3e-05	5.59e-05	0.000381	0.000171	0.000107	0	0.00061	5.27e-05	0	0.000165	0.000751	0.0011	0.000703	0.000557	0	0.000166	6.31e-05	0	0.000146	2.87e-05	1.78e-05	3.17e-05
9.9e-05	0.000199	0.000346	5.61e-05	0.000188	9e-05	0.000265	0.000592	5.13e-05	0.00101	0.000105	0	0.000481	0	8.62e-05	5.92e-05	0.00063	1.89e-05	0	0.000188	0.000827	0.00112	0.000857	0.000324	0	0.000112	9.26e-05	4.44e-05	2.89e-05	2.21e-05	0.000287	0.000104
0.000177	8.85e-05	0.000331	8.17e-05	3.07e-05	6.11e-05	0.00018	0.00056	5.35e-05	0.00101	7.64e-05	0.000148	0.000454	0	7.91e-05	0	0.00063	1.6e-05	0	0.000178	0.000784	0.00109	0.00074	0.000392	0	0.000119	5.22e-05	1.29e-05	8.32e-05	1.88e-05	0.00026	0
9.01e-05	9.03e-05	0.000276	8.83e-05	1.93e-05	6.03e-05	0.000205	0.000507	4.29e-05	0.00085	6.42e-05	0.000129	0.000321	3.64e-05	4.37e-05	1.82e-05	0.000461	1.96e-05	0	0.000148	0.000596	0.000914	0.000712	0.000412	5.3e-05	0.000145	2.02e-05	1.97e-05	8.33e-05	3.33e-05	0.000166	0
9.77e-05	7.23e-05	0.000284	0.000121	1.89e-05	4.66e-05	0.000225	0.000582	6.44e-05	0.000841	7.64e-05	0.000135	0.000309	9.94e-06	3.38e-05	2.95e-05	0.000447	2.08e-05	0	0.000154	0.000593	0.000918	0.000807	0.000415	4.49e-05	8.2e-05	6.69e-05	0	0.000179	3.58e-05	0.000191	0
0.00011	0.000141	0.000268	7.66e-05	6.42e-05	7.37e-05	0.000239	0.000605	4.58e-05	0.000901	6.9e-05	6.49e-05	0.000395	0.000146	8.54e-05	8.13e-06	0.000539	2.33e-05	0	0.000129	0.000663	0.00097	0.000844	0.000186	0	4.29e-05	0.000166	1.22e-05	7.6e-05	0.000125	3.39e-06	6.99e-06
0.000101	0.000186	0.00026	8.87e-05	2.67e-05	6.86e-05	0.000231	0.000646	3.26e-05	0.00101	0.000112	0.00014	0.000425	4.89e-07	4.45e-05	5.78e-06	0.000535	3.17e-05	0	0.000166	0.000685	0.00113	0.000877	0.000498	0	0.000183	2.14e-05	2.82e-05	2.76e-05	5.22e-06	3.69e-05	0
7.4e-05	0.000159	0.000299	0.000119	3.91e-05	6.55e-05	0.00024	0.000723	5.89e-05	0.00103	7.14e-05	0.000115	0.000359	0.000139	6.76e-05	5.38e-05	0.000535	2.92e-05	0	0.000154	0.000657	0.00111	0.000963	0.000456	0	0.000168	4.3e-05	1.2e-05	6.25e-05	2.26e-05	0	2.37e-05
6.77e-05	0.000172	0.000327	8.68e-05	5.96e-05	8.26e-05	0.000269	0.000784	3.94e-05	0.00112	8.65e-05	8.67e-05	0.000402	0.000197	8.59e-05	4.83e-05	0.000612	1.27e-05	0	0.000146	0.000729	0.00121	0.00105	0.000397	0	0.000148	1.93e-05	4.67e-05	8.59e-07	0	0	1.77e-06
6.99e-05	0.000189	0.000345	9e-05	2.26e-05	9.02e-05	0.000254	0.000723	3.43e-05	0.00115	8.94e-05	0.000134	0.000401	6.33e-05	4.99e-05	3.2e-05	0.000598	1.43e-05	0	0.000157	0.000746	0.00124	0.000976	0.000571	0	0.000205	8.89e-06	2.79e-05	1.43e-05	2.31e-06	0	0
7.39e-05	0.000118	0.000312	0.00013	2.94e-05	8.24e-05	0.000259	0.000655	4.68e-05	0.00113	0.000116	0.000155	0.000416	0	5.01e-05	3.31e-06	0.000576	4.56e-05	0	0.000185	0.000728	0.00124	0.000914	0.000502	0	0.00018	0	2.01e-05	0	0	1.09e-05	2.11e-05
7.37e-05	0.000151	0.000304	0.000113	3.15e-05	8.69e-05	0.000274	0.000653	3.4e-05	0.00116	9.68e-05	0.000155	0.000433	0	4.67e-05	5.67e-06	0.000566	4.8e-05	0	0.000186	0.000736	0.00125	0.000928	0.000684	0	0.000197	0	3.79e-05	1.08e-05	0	7.72e-06	0
8.83e-05	0.000144	0.000309	0.000114	2.44e-05	7.31e-05	0.000284	0.000771	5.53e-05	0.00111	6.32e-05	0.000126	0.000366	0	3.38e-05	9.71e-06	0.000466	2.26e-05	0	0.00015	0.000675	0.00117	0.00106	0.000228	3.63e-05	0.000115	9.47e-05	1.56e-05	0	2.72e-05	9.93e-05	0
9.48e-05	0.000129	0.000286	0.000116	2.15e-05	6.7e-05	0.000303	0.000794	5.74e-05	0.00107	6.23e-05	0.000132	0.000368	0	5.31e-05	4.78e-05	0.000453	2.16e-05	0	0.000153	0.000654	0.00113	0.0011	0.0004	5.19e-05	0.000161	7.94e-06	1.57e-05	0	2.1e-05	0	0
0.000107	0.000138	0.000343	6.73e-05	0.000101	7.59e-05	0.000179	0.000461	3.68e-05	0.00097	9.46e-05	5.89e-05	0.000359	9.85e-05	0.00011	2.62e-05	0.000584	1.11e-05	0	0.00016	0.000702	0.00106	0.00064	0.000512	0	0.00015	5.65e-05	6.46e-05	9.81e-05	2.33e-05	0.000195	0.000124
0.000136	0.00016	0.000256	8.64e-05	8.98e-05	6.49e-05	0.00018	0.000477	5.21e-05	0.000917	9.12e-05	5.89e-05	0.000404	0.000123	8.57e-05	2.66e-05	0.000552	1.01e-05	0	0.000149	0.00066	0.00101	0.000656	0.000411	0	0.000116	5.27e-05	2.12e-05	0.000123	2.79e-05	0.000149	0.000125
0.000128	0.000183	0.000231	0.000105	7.73e-05	6.22e-05	0.000232	0.000669	6.14e-05	0.00102	7.2e-05	7.2e-05	0.000412	9.13e-05	8.59e-05	5.85e-05	0.000531	1.13e-05	0	0.000149	0.000643	0.0011	0.000901	0.000517	0	0.000193	4.65e-05	2.34e-05	0.000109	1.84e-05	0	0
0.000133	0.000128	0.00024	9.34e-05	2.11e-05	5.21e-05	0.000223	0.000554	4e-05	0.00101	8.65e-05	0.000124	0.000367	0	6.54e-05	3.35e-05	0.000534	7.46e-06	0	0.000145	0.000607	0.0011	0.000777	0.00113	0	0.000186	0	0	0	2.25e-05	0.000521	0
0.00013	0.000106	0.000317	7.93e-05	5.1e-05	5.56e-05	0.000214	0.000509	6.85e-05	0.000933	7.54e-05	8.58e-05	0.000327	2.85e-05	6.26e-05	3.94e-05	0.000591	1.54e-05	0	0.000137	0.000644	0.00101	0.000722	0.000335	7.85e-05	0.0001	9.43e-05	0	0.000136	7.39e-05	0.000375	0
0.000154	0.000109	0.000309	8.63e-05	1.84e-05	3.89e-05	0.000228	0.000553	7.23e-05	0.000881	7.79e-05	0.000116	0.000312	2.52e-05	5.09e-05	1.79e-05	0.00057	1.47e-05	0	0.000134	0.000621	0.000958	0.000781	0.000375	8.65e-05	7.77e-06	0.000216	0	0.000262	0.000131	0.000365	0.000122
