Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
0	0.000281	0.000397	0.000136	9.56e-05	0.000139	0.000163	0.00101	0	0.001	0.000183	3.19e-05	0.000293	0.000704	0.000214	6.32e-05	0.000531	7.21e-08	0	0.000128	0.00069	0.00119	0.00118	0.000285	0	9.01e-05	0.000127	2.54e-05	0	3.97e-05	0.000261	0.000186
5.41e-05	0.000305	0.000433	8.57e-05	0.000107	0.00017	8.86e-05	0.0011	0	0.00103	0.000189	6.36e-05	0.000332	0	0.000126	7.68e-05	0.00076	2.6e-05	0	0.00017	0.000765	0.00121	0.00119	0.000483	0	0.000147	0.000229	9.25e-05	0	4.43e-05	0.000244	0.000266
0.000112	0.000206	0.000448	0.000131	4.16e-05	0.000141	7.18e-05	0.000927	6.7e-05	0.00117	0.000185	0.000108	0.000314	0.000244	7.48e-05	6.62e-05	0.000662	5.27e-05	0	0.000149	0.000762	0.00136	0.000999	0.00273	0	0.000714	0	1.99e-05	0	0	0.000569	0.000276
1.69e-05	0.000216	0.000426	7.73e-05	7.3e-05	0.000136	0.000171	0.000838	5.66e-05	0.001	0.000121	5.93e-05	0.000314	0.000631	0.000137	0.000123	0.000535	5.34e-05	0	0.000132	0.000741	0.00112	0.00101	0.0013	0	0.000347	0.000303	0	7.42e-05	0.000116	0.000336	0.000376
0.000108	0.000176	0.000454	0.000118	2.78e-05	0.000102	4.58e-05	0.000808	6.24e-05	0.000969	0.000175	0.000138	0.000236	0.000202	8.07e-05	0	0.00066	1.78e-05	0	0.000165	0.00069	0.00114	0.000854	0.00172	0	0.00138	0.0012	0	0.000133	0.00189	0.00108	0.00035
0.000214	0.000124	0.000318	0.00012	5.44e-05	0.000122	8.97e-05	0.00077	0	0.000923	0.000197	9.5e-05	0.000319	0.000211	0.000128	6.52e-05	0.000631	7.91e-06	0	0.000149	0.000637	0.00112	0.00086	0.00217	0	0.000835	0.00044	0	0.000244	0.000332	0.000504	0
0.000102	0.000179	0.000483	0.000147	0.000137	0.000159	0.000163	0.000955	0	0.000791	0.000162	0	0.000258	0.000483	7.6e-05	5.02e-05	0.000637	3.14e-05	0	0.000137	0.000741	0.000953	0.00112	0.000705	0	0.000234	6.93e-05	8.54e-05	0	0	0.00037	0
5.51e-05	0.0002	0.000378	0.00011	7.63e-05	0.000131	0.000109	0.000944	2.29e-05	0.00101	0.000108	7.34e-05	0.000376	0.000116	0.000174	6.93e-05	0.000725	2.54e-05	0	0.00015	0.000754	0.00111	0.00105	0.00133	0	0.000411	1.76e-05	0.000207	0	0	0.000499	0.000338
0	0.000206	0.000331	3.95e-05	6.73e-05	0.000118	0.000149	0.000771	0	0.000945	0	5.9e-05	0.000395	0.000509	2.57e-05	0.000232	0.000634	4.57e-05	0	0.000126	0.000726	0.000945	0.000919	0.00436	0	0.000627	0.000702	0	0	0.000227	0.00101	0
0	0.000172	0.000295	8.23e-05	6.13e-05	0.000103	0.000125	0.000702	9.43e-06	0.000928	5.01e-05	4.63e-05	0.000385	0.000833	6.59e-05	0.000194	0.000618	4.41e-05	0	0.000108	0.000681	0.000978	0.000827	0.00164	0	0.000642	0.000525	1.18e-06	7.1e-05	0.000127	0.000964	0
2.08e-05	0.000162	0.000363	6.58e-05	0.000113	0.000151	0.000216	0.000979	2.87e-05	0.001	0.000131	6.5e-05	0.000469	0.000137	0.000194	9.65e-05	0.000731	1.79e-05	0	0.000178	0.000832	0.00114	0.00119	0.000849	0	0.000139	0.000187	0.000114	0	3.57e-05	0.000804	0.000311
0	8.75e-05	0.000569	0.000107	7.53e-05	0.000116	0.000156	0.00087	0	0.000832	0.000164	5.62e-05	0.000121	0.000325	9.49e-05	4.05e-05	0.000606	1.28e-05	0	0.000132	0.00069	0.000995	0.00103	0.000225	0	6.23e-05	0.000134	3.24e-05	0	3.53e-05	0.000294	7e-05
5.42e-05	0.000119	0.000299	8.29e-05	2.91e-05	0.000105	0.000135	0.000701	7.48e-05	0.000758	0.000117	0.000105	0.000303	0.000215	6.57e-05	5.6e-05	0.000513	1.79e-05	0	0.000134	0.000603	0.000876	0.000836	3.01e-05	1.65e-05	2.95e-05	0.000139	0	9.88e-05	9.63e-05	2.32e-05	0
8.19e-05	0.000129	0.000336	0.000105	8.44e-05	9.31e-05	0.000113	0.000745	6.97e-05	0.000759	0.000118	3.99e-05	0.000267	0.000406	9.04e-05	5.43e-05	0.000524	1.64e-05	0	0.000124	0.000603	0.000877	0.000859	0.000406	0	0.00017	0.000124	3.34e-05	0	3.64e-05	0.000198	0
9.43e-06	0.000169	0.000399	8.72e-05	6.75e-05	0.000128	0.00019	0.000816	1.64e-05	0.000696	0.00011	2.97e-05	0.000195	0.000397	0.000103	4.25e-05	0.00052	1.98e-05	1.58e-06	9.72e-05	0.000594	0.000807	0.00101	0.000441	0	0.000129	5.61e-05	6.6e-05	3.26e-05	1.23e-05	0.000202	0.000139
3.39e-05	0.000181	0.000431	8.01e-05	6.54e-05	0.000122	0.000127	0.000824	1.55e-05	0.0007	8.64e-05	3.21e-05	0.000161	0.000531	0.000108	3.39e-05	0.000528	2.18e-05	0	9.75e-05	0.000591	0.000786	0.000951	0.000372	0	0.000112	3.83e-05	5.59e-05	4.58e-05	7.5e-07	0.000125	0
2.26e-05	0.000258	0.000461	9.59e-05	0.00011	0.000137	0.000146	0.000857	0	0.000841	0.000156	0	0.000162	0.000656	8.71e-05	5.43e-05	0.000447	2.78e-05	0	0.00011	0.000623	0.000997	0.001	0.000438	0	0.000152	3.77e-05	7.33e-05	0	0	8.42e-06	6.27e-05
2.3e-05	0.000255	0.00037	8.43e-05	0.000117	0.000135	0.000177	0.000895	3.17e-06	0.000834	0.00017	0	0.000234	0.000321	0.000121	4.98e-05	0.000514	2.18e-05	0	0.000117	0.000604	0.001	0.00107	0.00039	0	0.000124	5.34e-05	6e-05	0	8.99e-06	0.000147	1.86e-05
5.52e-06	0.000321	0.000341	0.000101	0.000112	0.000154	0.00016	0.00101	0	0.00101	0.000149	0	0.000361	0.000637	9.89e-05	6.24e-05	0.000564	1.25e-05	0	0.000112	0.000702	0.00116	0.00117	0.000353	0	0.000125	6.98e-05	3.58e-05	0	2.13e-06	0.000115	2.98e-05
3.69e-05	0.000365	0.000465	6.47e-05	9.21e-05	0.000134	0.000193	0.00103	0	0.000993	0.00014	4.85e-05	0.000246	9.66e-05	8.34e-05	5.12e-05	0.000662	1.36e-05	0	0.000141	0.000711	0.00113	0.00122	0.000424	0	0.00012	0.000128	7.47e-05	9.06e-05	3.52e-05	0.000286	0.000165
0.000131	0.000252	0.000272	6.91e-05	0.000117	0.000113	0.000116	0.000871	0	0.000946	0.000102	0	0.000403	0.00067	8.17e-05	4.46e-05	0.00051	3.74e-05	0	0.000117	0.000676	0.00105	0.000987	0.000379	0	0.000116	8.26e-05	5.34e-05	0	9.53e-06	0.000173	9.66e-05
0.000105	0.000184	0.000477	9.73e-05	9.5e-05	0.000118	0.000125	0.000889	5.19e-07	0.000905	0.000162	4.9e-05	0.000208	0.000281	1.07e-05	4.46e-05	0.0006	3.45e-05	0	0.000144	0.000685	0.00107	0.00101	0.000411	0	0.000134	7.57e-05	5.15e-05	0	1.19e-05	0.000116	6.32e-05
