Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
999	45	33	9	999	11	14	4	999	3	33	51	999	43	24	14	999	34	647	51	12	1	4	999	182	186	8	191	120	86	24	999
999	30	91	6	82	10	14	4	857	3	10	177	34	999	24	13	999	115	999	56	15	1	4	999	90	91	9	97	999	87	25	13
999	57	999	8	52	9	13	4	35	1	999	999	999	999	102	11	999	68	999	52	999	1	4	65	541	70	12	999	999	26	17	3
999	42	46	10	18	12	13	4	101	2	50	999	999	999	47	19	999	97	212	18	46	1	4	142	999	120	10	415	999	29	31	999
999	54	44	7	101	14	16	4	266	2	7	999	999	999	49	13	68	999	242	101	44	1	4	156	150	33	13	68	999	49	13	999
27	39	999	10	55	19	41	4	161	3	12	286	999	36	37	16	49	67	999	59	999	1	5	999	84	104	8	96	21	48	13	27
522	56	46	8	999	13	12	4	28	3	16	34	255	999	29	16	34	999	199	34	15	1	3	999	999	999	7	999	32	999	999	8
999	45	52	6	121	10	21	4	999	3	17	70	999	999	120	11	82	625	227	41	52	1	4	694	133	106	12	999	999	40	20	5
99	125	41	9	47	14	18	4	329	1	999	999	999	999	83	23	999	235	237	47	41	1	5	999	47	56	8	70	999	67	30	999
999	91	108	9	999	15	20	4	999	1	999	999	76	999	86	17	999	795	211	999	18	1	5	999	999	999	11	999	155	54	24	999
999	60	79	9	73	9	9	4	31	1	999	999	528	999	28	14	119	999	222	73	34	1	4	999	999	460	8	999	999	28	14	20
999	65	16	7	386	8	9	3	24	1	999	999	999	999	103	41	999	134	339	386	16	1	3	999	999	999	7	999	139	61	999	261
128	93	999	8	62	13	15	4	999	2	7	999	38	999	49	13	568	302	316	62	38	1	4	999	56	66	11	117	999	40	23	999
999	44	999	7	44	16	15	4	999	2	8	212	999	999	999	22	37	140	999	48	999	1	4	999	64	74	9	100	999	169	26	999
999	26	36	8	83	10	8	3	34	1	10	62	999	999	28	16	120	104	152	34	36	1	3	999	999	999	7	999	999	41	18	999
999	54	15	8	999	11	10	3	999	1	10	999	999	999	84	15	999	87	199	999	15	1	3	999	999	999	4	999	999	556	999	999
999	292	38	8	239	9	9	3	77	2	10	999	999	152	92	14	32	999	235	239	38	1	3	999	999	999	8	999	27	68	21	999
999	62	50	6	999	9	10	3	26	3	33	86	999	999	999	15	152	479	222	86	18	1	3	999	999	999	7	999	191	240	72	999
999	49	405	8	52	9	8	3	999	2	9	200	109	999	40	15	103	63	78	44	55	1	3	999	138	144	3	146	112	999	48	999
999	87	999	9	142	10	10	3	29	2	12	999	32	999	41	11	999	999	171	142	32	1	3	999	999	999	7	999	999	233	29	34
999	43	999	7	32	12	15	4	60	2	6	999	999	999	101	13	41	114	999	32	999	1	5	999	999	999	5	999	999	265	32	50
999	999	29	7	999	11	14	4	999	3	13	89	999	999	524	11	770	148	320	89	29	1	4	999	54	56	8	57	58	999	28	16
999	35	999	8	34	11	9	3	77	1	7	999	31	999	31	11	28	260	131	34	31	1	3	999	69	81	3	102	999	98	27	50
999	51	41	7	43	8	8	3	28	1	9	999	999	999	999	12	999	999	184	43	41	1	3	999	999	531	6	999	999	55	999	999
999	61	145	6	80	9	11	3	30	1	8	300	999	999	40	12	75	999	411	55	145	1	3	999	999	999	3	999	999	999	55	65
999	37	999	9	30	10	10	4	21	1	8	99	999	999	62	15	999	695	999	32	999	1	4	999	999	999	7	999	999	167	999	999
999	18	999	7	32	14	16	3	999	1	6	999	999	999	63	11	999	999	999	32	999	1	4	999	42	59	6	69	45	87	999	47
999	64	54	7	104	10	11	3	56	1	9	999	999	999	82	13	61	126	853	104	54	1	3	999	184	192	3	282	999	59	17	999
999	14	123	86	116	15	999	9	58	1	999	72	999	999	39	8	57	86	608	30	123	1	9	30	999	21	18	999	999	38	16	28
74	83	27	7	101	11	11	4	241	3	44	71	999	999	63	18	71	100	179	40	27	1	4	999	999	455	8	320	49	23	8	5
853	83	83	6	33	9	23	4	52	2	8	999	999	999	86	10	173	190	261	33	83	1	5	124	355	104	10	999	999	34	17	7
