Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
999	19	8	13	21	6	19	4	999	3	12	67	11	15	13	23	4	999	999	4	1	1	5	35	999	44	32	97	999	80	23	9
64	17	6	21	11	6	38	4	999	3	15	18	7	999	20	20	3	11	999	2	1	1	6	32	999	34	25	31	999	124	27	21
28	19	5	12	23	6	35	4	33	2	10	9	7	43	30	24	3	5	999	3	1	1	5	12	999	16	999	309	999	999	18	7
143	16	5	17	17	5	13	4	31	1	10	22	7	10	12	11	3	4	999	2	1	1	4	12	999	11	11	999	51	46	18	9
24	20	5	12	17	7	47	4	28	2	9	5	9	43	20	999	2	11	999	3	1	1	5	30	999	21	20	999	47	19	31	37
15	36	8	15	27	7	32	5	999	2	8	15	8	50	18	32	3	30	999	4	1	1	7	19	999	14	21	999	22	40	30	999
40	32	8	14	4	8	23	5	999	4	16	999	14	25	44	39	3	10	999	4	1	2	7	20	999	24	72	43	999	999	24	999
59	23	7	16	17	7	28	5	107	2	19	18	7	85	14	22	3	10	999	3	1	2	6	18	999	19	294	19	999	999	22	19
999	24	9	49	24	8	21	5	999	2	999	29	8	24	110	11	3	7	999	4	2	2	6	13	999	17	16	999	999	58	23	999
999	29	9	24	31	9	24	6	332	3	43	44	7	14	46	13	4	7	999	5	2	2	7	20	999	15	17	999	122	84	20	999
170	28	10	27	15	7	14	4	97	2	13	28	7	78	13	20	3	13	999	3	1	1	5	23	999	33	26	45	999	126	16	25
999	42	4	11	12	5	13	3	999	3	12	17	16	22	21	25	2	14	999	3	1	1	4	34	999	35	20	39	999	66	19	31
42	26	7	15	22	6	15	4	19	2	10	7	7	32	21	20	3	10	999	3	1	1	5	270	166	223	42	999	46	48	156	999
25	24	5	11	9	6	18	3	18	1	8	18	5	15	15	18	2	10	999	2	1	1	4	22	999	20	16	79	999	106	16	999
260	20	6	16	21	6	12	4	102	2	10	48	11	19	16	26	3	9	445	4	1	2	5	30	999	33	75	43	144	237	29	25
63	17	5	15	19	6	17	4	88	2	14	39	12	12	14	28	3	8	999	3	1	1	5	25	999	28	84	39	77	999	37	999
140	18	5	17	4	7	21	5	999	3	12	999	15	14	29	26	4	10	999	4	1	1	6	23	999	26	95	39	999	999	615	40
125	16	7	17	4	6	15	4	712	2	9	999	11	26	16	26	3	10	999	4	1	1	5	30	999	29	69	39	999	286	35	131
492	12	8	14	3	5	16	4	999	2	10	999	7	12	18	19	3	16	999	3	1	1	4	24	999	26	57	60	999	999	54	96
82	12	5	26	15	7	15	4	999	2	12	27	10	94	25	26	3	17	999	3	1	1	5	35	999	43	40	42	60	105	26	24
28	21	10	27	5	9	30	5	999	3	25	999	7	15	34	34	4	8	999	5	1	1	6	28	999	30	48	41	999	304	33	35
33	29	6	19	18	9	27	5	999	3	18	36	14	34	254	35	4	8	999	4	1	1	6	27	999	28	53	48	999	233	46	38
72	16	6	16	14	5	12	3	52	2	8	71	7	18	16	14	3	9	999	3	1	1	4	17	999	23	48	40	999	92	236	33
27	18	6	16	999	6	18	4	290	2	14	4	9	10	11	28	3	7	999	4	1	1	5	28	999	29	69	72	999	228	35	27
21	21	5	14	28	7	20	4	87	2	11	22	12	27	15	31	3	5	999	3	1	1	5	37	999	41	24	53	60	62	16	30
45	19	5	14	23	6	25	4	68	2	10	21	9	15	11	30	3	15	999	3	1	1	5	34	999	36	57	48	98	141	26	23
999	14	5	17	30	5	19	4	45	2	11	10	7	29	15	31	2	13	999	3	1	1	5	29	999	31	84	42	999	209	28	9
82	17	5	13	39	6	24	4	41	2	11	7	8	16	12	16	3	20	999	3	1	1	4	999	999	269	15	999	999	37	7	19
999	109	8	17	95	9	14	5	37	3	22	8	21	999	23	23	3	22	110	2	2	1	5	68	999	74	17	134	999	79	17	63
472	26	5	11	22	8	11	5	95	2	12	26	14	62	20	45	3	16	999	3	1	2	5	48	74	203	28	999	15	41	4	14
168	30	7	19	25	6	16	4	53	2	14	25	9	99	16	17	3	15	17	3	1	1	5	16	999	26	19	47	26	58	5	999
