Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
0	4.24e-07	4e-06	4.07e-08	0	7.06e-08	5.72e-08	2.22e-07	0	2.32e-07	1.66e-08	2.16e-06	3.73e-08	7.65e-07	1.56e-06	3.01e-07	0	4.27e-06	1.72e-07	2.16e-06	4.03e-06	2.48e-07	2.79e-07	0	3.77e-06	1.03e-06	0.00012	5.74e-07	2.55e-05	1.34e-05	6.47e-05	0
0	5.84e-07	1.15e-06	6.11e-08	1.33e-06	8.23e-08	5.37e-08	2.21e-07	1.06e-08	2.12e-07	5.71e-08	7.83e-07	3.01e-06	0	1.23e-06	3.39e-07	0	1.03e-06	7.3e-08	2.12e-06	4.17e-06	2.69e-07	2.75e-07	0	2.67e-05	7.63e-06	0.000158	4.14e-06	0	1.9e-05	8.79e-05	7.88e-05
0	2.33e-07	0	3.49e-08	1.05e-06	7.89e-08	5.46e-08	2.03e-07	2.26e-07	2.74e-07	0	0	0	0	1.97e-07	3.69e-07	0	1.35e-06	0	1.05e-06	0	2.74e-07	2.58e-07	8.28e-05	3.21e-06	3.11e-05	0.000209	0	0	9.32e-05	0.000176	0.000288
0	3.63e-07	9.63e-07	2.72e-08	4.21e-06	5.39e-08	5.05e-08	1.91e-07	5.81e-08	2.54e-07	1.05e-08	0	0	0	6.72e-07	1.91e-07	0	1.29e-06	9.52e-08	4.21e-06	9.63e-07	2.65e-07	2.41e-07	2.32e-05	0	1.01e-05	0.000138	1.81e-06	0	5.59e-05	4.96e-05	0
0	1.27e-07	8.44e-07	3.92e-08	3.66e-07	3.48e-08	3.39e-08	1.82e-07	2.61e-08	2.13e-07	3.55e-08	0	0	0	1.42e-07	2.65e-07	2.64e-07	0	1.06e-07	3.66e-07	8.44e-07	2.48e-07	2.16e-07	5.12e-05	3.77e-05	3.9e-05	0.000148	1.33e-05	0	4.27e-05	0.000109	0
1.58e-06	3.87e-07	0	3.22e-08	1.26e-06	2.64e-08	1.52e-08	1.88e-07	4.75e-08	1.99e-07	3.8e-08	4.11e-07	0	7.75e-07	8.71e-07	2.3e-07	4.33e-07	1.77e-06	0	1.67e-06	0	2.37e-07	2.04e-07	0	1.98e-05	5.55e-06	0.000146	3.7e-06	0.000168	3.05e-05	6.85e-05	6.25e-05
8.27e-08	2.96e-07	2.41e-06	4.18e-08	0	5.91e-08	6.08e-08	2.26e-07	1.29e-07	2.64e-07	4.12e-08	2.98e-06	4.74e-07	0	5.35e-07	2.24e-07	6.45e-07	0	3.35e-07	2.98e-06	2.88e-06	3.06e-07	2.87e-07	0	0	1.44e-10	0.000116	1.03e-10	0.000104	0	0	0.000124
0	3.85e-07	1.08e-06	5.42e-08	8.49e-07	7.54e-08	3.53e-08	2.14e-07	0	2.53e-07	3.39e-08	1.88e-06	0	0	2.6e-07	4.17e-07	2.9e-07	1.98e-07	1.03e-07	2.73e-06	1.08e-06	2.87e-07	2.5e-07	1.19e-05	3.48e-05	1.68e-05	0.000162	1.05e-06	0	5.27e-05	0.000154	0.000186
4.62e-07	1.33e-07	1.37e-06	3.92e-08	1.79e-06	5.34e-08	4.45e-08	1.81e-07	2.88e-08	2.32e-07	0	0	0	0	3.61e-07	1.89e-07	7.65e-09	5.4e-07	1.36e-07	1.79e-06	1.37e-06	2.32e-07	2.25e-07	0	2.92e-05	8.58e-06	0.000156	4.26e-06	0	2.02e-05	4.56e-05	0
0	1.23e-07	1.02e-06	4e-08	0	5.01e-08	3.86e-08	1.79e-07	0	2.1e-07	0	0	1.54e-06	0	1.49e-07	2.42e-07	0	1.09e-07	2.84e-07	0	2.57e-06	2.1e-07	2.17e-07	0	0	3.19e-11	0.00011	0	1.72e-05	2.02e-05	3.92e-05	0
