sub	ses	avg_delta_d0
sub-01	ses-01	0.0208389103503806
sub-01	ses-02	0.00972698331519677
sub-02	ses-01	0.00084793235814876
sub-02	ses-02	-0.0158901254888143
sub-03	ses-01	0.0110890591348861
sub-03	ses-02	0.0212087640069102
sub-04	ses-01	0.00375457835228475
sub-04	ses-02	0.0272124978442183
sub-05	ses-01	-0.00318252579318147
sub-05	ses-02	0.00544784506505192
sub-06	ses-01	0.00640548722080151
sub-06	ses-02	0.00761896993372652
sub-07	ses-01	0.00794978590544975
sub-07	ses-02	0.0119716228984291
sub-08	ses-01	0.00316221059918474
sub-08	ses-02	0.0109601354900654
sub-09	ses-01	-0.00171716823880936
sub-09	ses-02	-0.000676551441349054
sub-10	ses-01	-0.00621672006095802
sub-10	ses-02	0.00644838400700793
sub-11	ses-01	0.00161964111576417
sub-11	ses-02	0.00668448829378621
sub-12	ses-01	0.0237773516928307
sub-13	ses-01	0.00109769980072963
sub-13	ses-02	0.0162858636520554
sub-14	ses-01	0.00683199620194013
sub-14	ses-02	0.000541040680992081
sub-15	ses-01	0.000170029841480084
sub-15	ses-02	0.0306335594338811
sub-16	ses-01	0.0165215493313433
sub-16	ses-02	0.020509559091962
