sub	ses	avg_delta_d0
sub-01	ses-01	0.00583863160966193
sub-01	ses-02	0.0048541215236339
sub-02	ses-01	0.0146177759996769
sub-02	ses-02	-0.00441707396346061
sub-03	ses-01	0.00962613377611242
sub-03	ses-02	-0.00582118240532476
sub-04	ses-01	0.0237727408444227
sub-04	ses-02	0.0225017054839002
sub-05	ses-01	-0.00136346488896675
sub-05	ses-02	-0.000700282379245053
sub-06	ses-01	-0.0149561757725322
sub-06	ses-02	0.0443008354854367
sub-07	ses-01	0.00352684977802466
sub-07	ses-02	0.0244085849256321
sub-08	ses-01	0.0107647317004602
sub-09	ses-01	0.00724804942207098
sub-09	ses-02	0.0232185737391091
sub-10	ses-01	0.00940626210634737
sub-10	ses-02	-0.00273652457608336
sub-11	ses-01	0.017959204275388
sub-11	ses-02	0.0205311054008221
sub-12	ses-01	0.0306228201971975
sub-12	ses-02	0.0392875142332957
sub-14	ses-01	-0.000670296776290808
sub-14	ses-02	0.00903066292097903
sub-15	ses-01	0.00416428619975743
sub-15	ses-02	0.0215467484009026
sub-16	ses-01	0.0143484738270277
sub-16	ses-02	0.0247362865821117
