sub	ses	avg_delta_d0
sub-01	ses-01	-0.00260837671237248
sub-01	ses-02	0.0158793711789422
sub-02	ses-01	0.0246492680996843
sub-02	ses-02	0.0173263911026236
sub-03	ses-01	0.00275934127574641
sub-03	ses-02	0.0116187170716299
sub-04	ses-01	0.0203628396376382
sub-04	ses-02	0.0112248451462332
sub-05	ses-01	0.00775960151105171
sub-05	ses-02	0.0265472460133265
sub-06	ses-01	0.00448832935058266
sub-06	ses-02	0.0248158113802889
sub-07	ses-01	0.00120681011077875
sub-07	ses-02	0.0130912475109431
sub-08	ses-01	-0.00151019437497884
sub-08	ses-02	0.00829019196375217
sub-09	ses-01	9.97987668108451e-05
sub-09	ses-02	0.0101717035599762
sub-10	ses-01	0.0227261352938634
sub-10	ses-02	0.0330688999068336
sub-11	ses-01	-0.000101284075914032
sub-11	ses-02	0.00148534267435747
sub-12	ses-01	0.0218068419212072
sub-12	ses-02	0.0185678404498835
sub-13	ses-01	0.0168656971429164
sub-13	ses-02	0.00913544187040318
sub-15	ses-01	0.0173903288767644
sub-15	ses-02	0.0221481644495181
sub-16	ses-01	0.0136340672578957
sub-16	ses-02	0.0172830007203189
