sub	ses	avg_delta_d0
sub-01	ses-01	0.00955992156723583
sub-01	ses-02	0.0134717296197852
sub-02	ses-01	-0.00262807709984025
sub-02	ses-02	-0.0152972387210632
sub-03	ses-01	0.014484069588483
sub-03	ses-02	-0.0206594178976433
sub-04	ses-01	-0.0124420624596388
sub-04	ses-02	0.0263189614028542
sub-05	ses-01	-0.00784849514234791
sub-05	ses-02	0.000801068308897447
sub-06	ses-01	0.00236857971432288
sub-06	ses-02	0.0485190092428723
sub-07	ses-01	0.0105963123219237
sub-07	ses-02	0.0247434328392564
sub-08	ses-01	0.0232336808940279
sub-08	ses-02	0.0039781905179009
sub-09	ses-01	0.00252663450861281
sub-09	ses-02	0.00280162900039679
sub-10	ses-01	0.00136660813992165
sub-10	ses-02	0.0178254708297703
sub-11	ses-01	0.021264649707053
sub-11	ses-02	0.00543055161444913
sub-12	ses-01	0.0408334062296098
sub-12	ses-02	0.00624169544214269
sub-13	ses-01	0.00889001833725792
sub-13	ses-02	0.0168232648715531
sub-15	ses-01	0.0115300958428374
sub-15	ses-02	0.0118010580247557
sub-16	ses-01	0.025331141979359
sub-16	ses-02	0.0227359483450982
