Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
0	363.636363636364	621.212121212121	281.385281385281	200.649350649351	274.891774891775	255.411255411255	2164.50216450216	50.2164502164502	2036.79653679654	389.61038961039	109.52380952381	829.004329004329	0	0	117.099567099567	1389.61038961039	30.952380952381	0	309.52380952381	1448.05194805195	2424.24242424242	2424.24242424242	670.995670995671	28.1385281385281	145.454545454545	411.255411255411	121.645021645022	510.822510822511	178.138528138528	404.761904761905	274.891774891775
102.97619047619	569.444444444444	700.396825396826	289.68253968254	234.126984126984	297.619047619048	204.365079365079	1984.12698412698	1.1468253968254	2103.1746031746	458.333333333333	63.0952380952381	819.444444444445	0	0	45.8333333333333	1321.42857142857	0	105.753968253968	297.619047619048	1519.84126984127	2559.52380952381	2202.38095238095	777.777777777778	0	255.952380952381	426.587301587302	121.428571428571	0	135.515873015873	234.126984126984	116.865079365079
Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf	NaN	Inf	NaN	Inf	Inf	NaN
967.567567567567	967.567567567567	2313.51351351351	572.972972972973	332.432432432432	344.324324324324	210.27027027027	3848.64864864865	216.216216216216	4151.35135135135	1810.81081081081	408.648648648649	1383.78378378378	0	238.378378378378	13.1891891891892	2929.72972972973	240	123.243243243243	740.540540540541	3691.89189189189	5945.94594594595	4054.05405405405	7027.02702702703	0	1227.02702702703	62.7027027027027	0	275.675675675676	176.756756756757	908.108108108108	908.108108108108
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf
1457.51633986928	1542.48366013072	1745.09803921569	673.202614379085	296.078431372549	432.679738562091	308.496732026144	5176.47058823529	392.156862745098	6084.96732026144	1307.18954248366	635.947712418301	2679.7385620915	0	810.457516339869	0	4300.65359477124	49.8692810457516	0	934.640522875817	4431.37254901961	7385.62091503268	5483.66013071895	8692.81045751634	0	4261.43790849673	2196.07843137255	0	1274.50980392157	3758.16993464052	2633.98692810457	0
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN
1350	1128.57142857143	1742.85714285714	750	0	597.142857142857	400.714285714286	6664.28571428571	427.857142857143	6850	1435.71428571429	971.428571428571	3435.71428571429	0	778.571428571429	39.3571428571429	5307.14285714286	157.142857142857	0	971.428571428571	5178.57142857143	8285.71428571428	7064.28571428571	7214.28571428571	0	1478.57142857143	0	1028.57142857143	0	390	4514.28571428571	1971.42857142857
781.395348837209	1065.11627906977	1390.6976744186	613.953488372093	120.46511627907	338.604651162791	277.209302325581	3841.86046511628	186.511627906977	4544.18604651163	391.627906976744	581.395348837209	1986.04651162791	0	576.744186046512	55.3488372093023	3302.32558139535	215.348837209302	0	702.325581395349	3376.74418604651	4930.23255813953	4120.93023255814	49302.3255813954	0	7348.83720930233	0	0	255.813953488372	0	4697.67441860465	2911.62790697674
Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	NaN	NaN	Inf	Inf	Inf
478.260869565217	960.144927536232	1181.15942028986	185.144927536232	47.8260869565217	398.550724637681	384.057971014493	3221.01449275362	148.913043478261	3463.76811594203	644.927536231884	579.710144927536	1858.69565217391	0	760.869565217391	18.8405797101449	2942.02898550725	60.5072463768116	0	626.811594202899	3039.85507246377	4094.20289855072	3605.07246376812	2130.4347826087	0	270.289855072464	518.115942028986	0	344.202898550725	205.072463768116	2278.98550724638	673.913043478261
331.168831168831	474.025974025974	1116.88311688312	340.909090909091	53.2467532467532	199.350649350649	383.116883116883	2298.7012987013	85.0649350649351	2847.4025974026	470.779220779221	379.87012987013	974.025974025974	0	448.051948051948	8.34415584415584	1983.76623376623	33.4415584415584	0	435.064935064935	2090.90909090909	3311.68831168831	2681.81818181818	307.142857142857	47.4025974025974	85.7142857142857	545.454545454545	0	551.948051948052	179.220779220779	925.324675324675	282.142857142857
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf
26029.9625468165	26591.7602996255	47003.7453183521	16423.2209737828	11198.5018726592	12771.5355805243	19101.1235955056	132584.269662921	8089.88764044944	137827.715355805	22097.3782771536	13520.5992509363	67041.1985018727	0	13033.7078651685	353.932584269663	100374.531835206	3370.78651685393	0	24719.1011235955	114044.943820225	159925.093632959	151685.393258427	60861.4232209738	0	20599.2509363296	27340.8239700375	2153.55805243446	16048.6891385768	31835.2059925094	30149.8127340824	0
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	NaN	Inf	NaN	Inf
1269.43005181347	1761.65803108808	7046.63212435233	1526.77029360967	1865.28497409326	1537.13298791019	2400.6908462867	14214.1623488774	775.474956822107	10293.609671848	2538.86010362694	0	2435.23316062176	0	1345.4231433506	63.7305699481865	9395.50949913644	259.067357512953	0	1865.28497409326	9481.86528497409	12832.469775475	16597.5820379965	1535.40587219344	677.029360967185	464.594127806563	2193.43696027634	90.3281519861831	3903.28151986183	844.559585492228	1744.38687392055	0
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	NaN
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	NaN	Inf	Inf	NaN
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	NaN	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf
1019.49541284404	2041.28440366972	3497.70642201835	1376.14678899083	337.155963302752	1158.25688073395	1204.12844036697	9805.04587155963	557.339449541284	9805.04587155963	2190.36697247706	983.94495412844	3967.88990825688	0	4059.63302752294	0	7201.83486238532	344.036697247706	0	1318.80733944954	7465.59633027523	12041.2844036697	10997.7064220183	4667.43119266055	266.05504587156	1422.01834862385	948.394495412844	654.816513761468	587.155963302752	477.064220183486	891.05504587156	1444.95412844037
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	Inf	Inf	NaN	Inf
427.325581395349	1366.27906976744	1994.18604651163	924.418604651163	0	525.581395348837	610.46511627907	5424.41860465116	174.418604651163	6627.90697674419	906.976744186047	901.162790697674	2040.6976744186	0	877.906976744186	104.651162790698	4017.44186046512	79.0697674418605	0	901.162790697674	4034.88372093023	7558.13953488372	6046.51162790698	190.697674418605	0	50.0581395348837	1186.04651162791	0	779.06976744186	552.906976744186	947.674418604651	581.395348837209
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	NaN	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	NaN	Inf	Inf	Inf	NaN
1077.13125845737	1569.68876860622	4113.66711772666	1147.49661705007	238.159675236806	772.665764546685	1330.17591339648	8403.24763193505	769.959404600812	9323.4100135318	1691.4749661705	1098.78213802436	2814.61434370771	0	987.821380243572	39.9188092016238	7131.25845737483	131.258457374831	0	1336.94181326116	6914.74966170501	11014.8849797023	9742.89580514208	7198.91745602165	207.036535859269	1894.45196211096	1772.66576454668	322.056833558863	4208.38971583221	723.951285520974	7077.13125845737	0
