Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
1.2e-08	1.71e-07	1.4e-06	3.96e-08	1.39e-08	1.2e-08	3.01e-08	1.3e-06	0	8.71e-08	0	0	0	3.42e-08	0	0	2.54e-07	0	1.71e-07	1.39e-08	1.4e-06	8.71e-08	1.33e-06	0	0	5.72e-07	1.38e-07	0	0	8.9e-09	4.79e-07	2.03e-07
3.16e-09	0	1.15e-06	3.53e-08	6.81e-09	8.03e-09	6.49e-08	8.7e-07	0	9.24e-08	2.99e-09	0	0	8.79e-08	3.41e-08	6.51e-09	4.47e-08	0	1.79e-07	6.81e-09	1.15e-06	9.54e-08	9.35e-07	0.000113	0	2.78e-05	0	4.27e-06	0	3.4e-07	3.7e-06	0
6.58e-09	4.96e-09	0	3.53e-09	8.88e-09	1.27e-08	9.36e-08	1.81e-07	0	8.59e-08	9.8e-09	0	0	2.5e-08	9.93e-09	1.37e-08	9.32e-08	4.42e-07	0	8.88e-09	0	9.57e-08	2.74e-07	0.0001	0	6.62e-06	0	6.7e-06	0	3.35e-10	2.01e-07	4.02e-07
0	4.4e-09	0	2.95e-09	3.97e-09	1.11e-08	3.89e-08	1.63e-07	0	8.9e-08	0	0	0	3.2e-08	5.75e-09	1.49e-08	3.31e-08	0	0	3.97e-09	0	8.9e-08	2.02e-07	0.000137	0	3.77e-05	0	0	0	4.99e-07	2.51e-05	0
4.83e-09	2.08e-09	0	2.88e-09	8.58e-09	1.43e-08	9.65e-08	1.68e-07	2.39e-08	7.72e-08	0	0	0	6.91e-08	7.07e-09	1.17e-09	9.14e-08	7.33e-07	0	8.58e-09	0	7.72e-08	2.64e-07	0	0	4.62e-13	3.67e-08	1.66e-13	0	0	0	0
0	6.08e-09	0	3.16e-09	1.1e-08	1.14e-08	3.05e-08	6.07e-07	0	7.7e-08	9.54e-09	0	0	1e-08	7.31e-09	5.76e-09	7.02e-08	0	0	1.1e-08	0	8.66e-08	6.37e-07	9.03e-05	0	2.41e-05	0	1.35e-05	0	0	2.27e-06	0
4.01e-09	3.36e-09	0	2.27e-09	0	1.09e-08	4.62e-08	2.37e-07	1.93e-08	6.67e-08	1.29e-08	0	0	2.18e-08	4.65e-09	4.11e-09	0	1.1e-06	0	0	0	7.96e-08	2.83e-07	9.85e-05	0	2.93e-05	3.95e-07	2.16e-05	2.86e-06	6.32e-07	0	0
1.69e-10	5.06e-09	0	2.63e-09	5.05e-09	1.14e-08	3.16e-08	1.18e-06	0	7.86e-08	2.21e-09	0	0	3.95e-08	6.36e-09	1.48e-08	6.86e-08	6.75e-07	0	5.05e-09	0	8.09e-08	1.21e-06	9.55e-05	0	8.62e-06	0	2.27e-05	0	0	0	0
3.24e-09	3.21e-09	0	2.98e-09	4.82e-09	8.07e-09	2e-08	2.39e-07	1.34e-08	8.69e-08	0	0	0	3.14e-08	6.57e-09	9.62e-09	8.57e-08	0	0	4.82e-09	0	8.69e-08	2.59e-07	0.000219	0	2.95e-05	0	5.64e-06	0	5.6e-11	1.91e-09	2.98e-09
2.87e-09	6.67e-09	0	3.25e-09	9.14e-09	1.07e-08	2.66e-08	7.13e-07	0	8.86e-08	0	0	0	3.17e-08	7.07e-09	1.01e-08	1.27e-07	2.21e-07	5.8e-11	9.14e-09	0	8.86e-08	7.4e-07	0.000119	0	3.17e-05	0	1.78e-05	0	0	1.84e-09	8.05e-10
1.3e-09	5.17e-09	0	3.02e-09	6.5e-09	8.77e-09	2.18e-08	8.77e-07	0	8.23e-08	0	0	0	6.21e-08	4.81e-09	3.37e-09	4.74e-08	0	0	6.5e-09	0	8.23e-08	8.98e-07	7.92e-05	0	2.12e-05	0	1.19e-05	0	0	1.32e-09	1.86e-09
5.65e-09	3.56e-09	0	2.45e-09	3.88e-09	9.48e-09	2.36e-08	0	0	7.51e-08	0	0	0	2.97e-08	5.5e-09	6.21e-09	6.09e-08	0	0	3.88e-09	0	7.51e-08	2.36e-08	8.68e-05	0	2.06e-05	0	1.11e-05	0	0	2.39e-06	3.66e-06
7.14e-09	6.6e-08	0	3.4e-08	7.93e-09	1.36e-08	7.17e-08	7.58e-07	2.78e-08	6.64e-08	0	0	1.08e-06	8.23e-09	7.2e-08	9.12e-09	3.04e-08	5.64e-07	1.08e-07	7.93e-09	1.08e-06	6.64e-08	8.3e-07	3.58e-06	0	9.55e-07	2.01e-06	5.37e-07	0	8.58e-07	3.03e-05	0
5.33e-09	0	0	0	9.56e-09	1.15e-08	2.82e-08	5.12e-07	1.22e-09	5.93e-08	3.6e-09	0	0	4.24e-08	8.33e-08	1.2e-08	1.07e-07	0	3.27e-07	9.56e-09	0	6.29e-08	5.4e-07	6.11e-05	0	1.61e-05	0	9.14e-06	0	0	1.56e-09	0
2.53e-09	3.68e-09	0	2.18e-09	4.57e-09	9.41e-09	2.41e-08	4.9e-07	0	6.26e-08	0	0	0	2.22e-08	4.15e-09	5.62e-09	4.38e-08	0	0	4.57e-09	0	6.26e-08	5.14e-07	6.48e-05	0	5.24e-06	0	8.38e-06	0	0	0	0
6.38e-10	3.05e-09	0	2.19e-09	4e-09	9.57e-09	2.37e-08	4.75e-07	0	6.13e-08	1.99e-09	0	0	4.49e-08	4.4e-09	6.97e-09	9.27e-08	4.49e-07	9.06e-10	4e-09	0	6.32e-08	4.98e-07	7.41e-05	0	1.98e-05	0	1.11e-05	0	0	4.68e-07	0
3.72e-09	5.41e-09	0	2.81e-09	7.45e-09	1.07e-08	2.67e-08	6.12e-07	3.27e-08	7.41e-08	0	0	0	5.4e-08	6.04e-09	4.38e-09	1.07e-07	9.71e-07	0	7.45e-09	0	7.41e-08	6.39e-07	7.27e-05	0	1.94e-05	6.82e-08	1.09e-05	0	2.06e-08	7.47e-07	0
4.5e-09	3.25e-09	0	2.12e-09	0	9.33e-09	3.67e-08	4.3e-07	1.33e-08	6.26e-08	1.09e-08	0	0	8.29e-09	4.38e-09	5.46e-09	0	5.79e-07	0	0	0	7.35e-08	4.66e-07	7.03e-05	0	1.98e-05	0	7.74e-06	0	0	0	0
5.76e-09	5.87e-09	0	2.91e-09	4.45e-09	1.21e-08	2.97e-08	4.74e-07	0	8.37e-08	6.52e-09	0	0	4.65e-08	6.35e-09	9.85e-09	6.2e-08	4.55e-07	0	4.45e-09	0	9.03e-08	5.03e-07	9.29e-05	0	1.71e-05	0	8.59e-06	0	0	0	0
4.04e-09	9.66e-09	0	5.71e-09	4.26e-09	1.22e-08	3.02e-08	5.01e-07	0	8.5e-08	4.31e-09	0	9.37e-08	3.37e-08	1.18e-08	1.19e-08	4.14e-08	7.43e-07	9.42e-09	4.26e-09	9.37e-08	8.93e-08	5.31e-07	0.000101	0	2.69e-05	0	1.51e-05	0	1.11e-08	0	0
5.88e-09	3.38e-09	0	3e-09	8.91e-09	1.14e-08	4.09e-08	0	0	7.3e-08	2.8e-10	0	0	3.86e-08	5.8e-09	3.43e-09	7.72e-08	3.91e-07	0	8.91e-09	0	7.33e-08	4.09e-08	9.36e-05	0	2.5e-05	0	1.4e-05	0	0	1.25e-07	0
4.87e-09	0	1.38e-08	2.91e-09	3.33e-09	9.73e-09	2.42e-08	4.7e-07	0	7.34e-08	4.58e-09	0	0	4.28e-08	7.5e-09	4.8e-09	4.45e-08	9.23e-09	8.5e-10	3.33e-09	1.38e-08	7.8e-08	4.95e-07	9.94e-05	0	1.94e-05	0	9.5e-06	0	0	4e-06	0
5.05e-09	4.56e-09	0	2.08e-09	0	1.32e-08	3.27e-08	0	2.15e-08	7.47e-08	0	0	0	3.99e-08	5.37e-09	7.52e-09	1.51e-08	9.73e-07	0	0	0	7.47e-08	3.27e-08	5.81e-05	0	1.39e-05	6.05e-06	1.12e-05	1.47e-05	2.53e-06	0	0
3.89e-09	4.61e-09	0	2.53e-09	6.51e-09	1.02e-08	2.53e-08	3.34e-07	0	7.45e-08	0	0	0	3.18e-08	6.18e-09	1.07e-08	6.66e-08	0	9.01e-10	6.51e-09	0	7.45e-08	3.59e-07	8.35e-05	0	1.31e-05	0	1.45e-05	0	0	0	0
5.94e-09	0	0	0	9.11e-09	1.11e-08	2.75e-08	7.79e-07	0	7.4e-08	0	0	0	4.25e-08	0	6.02e-09	4.74e-08	0	1.99e-07	9.11e-09	0	7.4e-08	8.06e-07	8.36e-05	0	2.23e-05	0	1.25e-05	0	0	0	0
5.94e-09	3.16e-09	0	2.18e-09	0	6.29e-09	1.23e-08	3.53e-07	0	7.08e-08	2.32e-10	0	0	1.24e-07	1.9e-09	6.99e-09	8.08e-08	0	2.38e-10	0	0	7.1e-08	3.66e-07	0.000102	0	2.72e-05	7.37e-11	1.53e-05	0	1.58e-11	9.23e-10	5.26e-10
3.64e-09	5.04e-09	0	2.89e-09	6.05e-09	1.21e-08	5.07e-08	4.46e-07	0	8.54e-08	2.33e-09	0	0	3.52e-08	6.49e-09	1.03e-08	6.13e-08	4.92e-07	0	6.05e-09	0	8.77e-08	4.96e-07	8.5e-05	0	1.24e-05	0	1.45e-05	0	0	2.24e-07	0
1.86e-09	1.94e-09	0	3.3e-09	6.65e-09	1.06e-08	3.94e-08	1.14e-07	0	9.5e-08	2.19e-10	0	0	6.95e-08	6.4e-09	1.09e-08	6.35e-08	0	7.8e-10	6.65e-09	0	9.52e-08	1.53e-07	0.000111	0	2.97e-05	0	1.67e-05	0	0	6.24e-10	0
2.08e-09	0	1.18e-06	5.32e-08	4.08e-09	9.12e-09	4.46e-08	0	0	3.32e-08	1.59e-08	0	0	1.67e-08	9.12e-08	4.33e-09	0	0	8.54e-08	4.08e-09	1.18e-06	4.91e-08	4.46e-08	0.000129	0	1.69e-05	0	2.34e-05	0	0	0	0
0	2.47e-09	0	1.4e-09	0	8.14e-09	2.39e-08	0	2.38e-08	5.27e-08	0	0	0	3.27e-08	3.23e-09	0	3.94e-08	5.28e-07	0	0	0	5.27e-08	2.39e-08	0.000126	0	3.3e-05	5.21e-06	3.45e-05	2.14e-05	3.58e-06	0	2.77e-05
