Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
999	17	7	13	11	6	24	4	87	2	9	20	5	999	999	39	3	18	999	1	1	1	4	30	151	61	18	50	19	38	14	13
64	12	7	15	17	7	35	5	999	4	16	62	7	999	999	96	4	999	28	2	1	1	6	27	999	32	23	41	999	63	40	42
16	9	5	12	999	9	30	3	25	1	7	1	4	999	13	664	2	4	999	1	1	1	4	8	999	11	999	68	999	673	6	999
14	11	6	14	14	10	49	4	33	3	7	12	10	999	49	701	3	5	45	2	1	1	6	17	999	40	647	999	97	146	36	28
18	10	5	30	39	7	19	4	25	2	7	9	6	999	15	999	2	10	999	1	1	1	4	16	999	15	15	999	52	22	22	26
11	8	7	14	25	10	43	4	20	2	7	12	5	999	15	999	2	24	999	1	1	1	5	24	999	19	26	999	28	20	29	999
17	12	9	9	26	8	39	4	38	3	10	14	6	999	43	139	3	14	43	2	1	2	5	24	999	26	173	367	999	147	21	999
15	14	8	14	999	9	41	4	22	2	8	2	4	999	19	303	2	10	999	2	1	1	5	22	999	23	999	35	999	72	16	20
17	10	7	12	42	10	39	4	32	2	19	9	5	999	17	135	3	6	999	2	1	1	5	9	999	11	999	999	134	999	26	30
27	13	7	17	999	18	25	6	55	3	39	2	6	58	31	116	3	6	999	2	1	2	6	21	999	22	17	999	999	19	19	35
20	8	8	30	83	7	21	4	29	2	8	7	5	999	10	297	2	11	999	1	1	1	5	29	999	104	46	999	58	73	15	31
20	11	5	11	43	9	15	4	46	2	10	6	5	999	12	470	2	15	999	1	1	1	4	78	153	105	18	999	23	40	19	34
12	11	6	11	18	7	18	4	37	2	8	12	5	999	16	40	3	12	999	1	1	1	4	61	97	528	28	999	32	19	999	36
12	12	6	13	16	8	17	4	19	2	10	13	4	999	18	510	3	9	999	1	1	1	4	30	999	40	31	317	52	24	25	999
22	7	4	9	30	5	11	3	31	2	7	9	5	999	12	90	2	7	999	1	1	1	3	56	23	34	37	999	999	35	999	24
28	19	4	14	2	7	15	4	28	3	8	999	12	999	20	338	3	12	999	2	1	2	4	83	40	110	24	363	19	45	34	999
11	15	6	12	20	8	22	4	97	2	8	24	7	999	30	999	3	10	999	2	1	1	5	25	115	23	271	44	999	999	210	999
16	16	9	14	31	8	32	4	40	3	11	19	7	38	17	999	3	13	999	2	1	2	5	45	210	55	23	69	52	46	26	38
20	9	6	13	30	7	18	4	50	2	9	14	5	999	15	344	3	18	999	2	1	1	4	37	999	33	44	67	189	103	31	43
15	9	5	12	15	7	19	4	48	2	7	23	6	999	16	275	3	17	999	1	1	1	4	36	88	70	27	87	22	50	21	37
49	18	7	15	999	8	20	5	65	3	16	2	10	999	184	164	3	7	48	2	1	1	5	24	999	26	45	45	999	161	34	999
36	15	7	15	19	7	31	4	58	4	13	17	6	999	65	392	3	6	19	1	1	1	5	22	999	25	56	108	999	95	37	999
26	8	5	9	23	6	19	3	28	2	9	11	5	999	22	415	3	8	999	1	1	1	4	19	105	34	41	60	22	60	999	31
35	7	4	8	30	6	14	3	24	2	11	10	6	999	16	143	3	9	999	1	1	1	3	29	999	55	28	105	23	42	30	15
13	14	4	9	25	8	22	4	33	3	8	12	12	999	20	999	3	12	999	1	1	1	5	24	999	41	36	50	28	73	40	26
26	13	6	12	46	8	24	4	28	3	9	16	6	999	7	999	3	8	999	2	1	1	5	24	70	33	53	50	86	68	58	26
45	8	5	11	61	5	28	3	33	2	8	8	5	999	11	119	2	17	999	1	1	1	4	20	999	26	49	92	40	88	999	22
29	9	5	8	999	7	21	4	37	2	13	1	5	999	12	72	2	15	999	1	1	1	4	149	999	337	16	999	31	29	26	31
20	14	7	13	14	8	22	4	46	3	11	29	7	999	29	999	3	16	22	2	1	1	5	69	101	252	22	999	15	30	3	999
24	15	5	14	53	10	19	4	21	2	10	12	7	999	20	409	3	16	999	2	1	2	5	23	104	41	33	156	16	71	9	999
