Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
8.8e-08	0	0	1.35e-08	0	1.9e-08	2.18e-08	6.26e-08	0	5.63e-08	6.1e-09	5.94e-07	4.62e-07	0	2.71e-07	2.04e-08	0	0	4.6e-08	5.94e-07	4.62e-07	6.24e-08	8.44e-08	0.000171	0	7.42e-05	8.43e-05	3.84e-05	0	1.16e-05	0	0
0	1.14e-07	5.04e-07	1.3e-08	0	9.22e-09	1.52e-08	6.31e-08	0	5.47e-08	1.24e-08	4.27e-07	0	0	1.71e-07	1.46e-08	0	7.49e-06	4.82e-08	4.27e-07	5.04e-07	6.71e-08	7.83e-08	7.86e-05	0	2.39e-05	0.000148	1.23e-05	1.56e-05	5.37e-05	0.00013	7.63e-05
1.24e-07	0	0	1.13e-08	0	7.42e-09	9.69e-09	5.08e-08	0	6.88e-08	1.14e-08	2.49e-07	0	0	4.5e-08	0	0	1.22e-06	1.15e-09	2.49e-07	0	8.02e-08	6.05e-08	0	1.03e-05	1.99e-06	0.000155	5.2e-06	0.000234	5.07e-05	4.87e-05	0
0	1.9e-08	1.85e-07	1.28e-08	0	6.17e-09	5.88e-09	5.23e-08	0	5.2e-08	1e-08	1.56e-07	0	4.14e-08	3.85e-08	8.74e-10	0	1.61e-06	2.24e-08	1.56e-07	1.85e-07	6.21e-08	5.82e-08	2.18e-05	0	6.56e-06	0.000144	5.4e-06	0.00015	4.21e-05	5.57e-05	0
0	1.13e-08	0	9.53e-09	0	9.06e-09	1.3e-08	5.2e-08	0	5.23e-08	6.43e-09	1.67e-07	0	0	4.76e-08	4.41e-08	0	0	1.25e-08	1.67e-07	0	5.88e-08	6.5e-08	0	8.26e-05	3.4e-05	0.000106	1.89e-05	0.000101	1.84e-05	0.000109	0
6.22e-08	0	1.53e-07	1.09e-08	0	9.9e-09	1.08e-08	5.64e-08	5.68e-09	5.5e-08	8.99e-09	2.86e-07	0	0	1.01e-07	2.13e-08	1.83e-07	0	1.16e-08	2.86e-07	1.53e-07	6.4e-08	6.72e-08	8.65e-05	7.8e-06	3.54e-05	0.000122	2.09e-05	9.91e-05	2.55e-05	5.35e-05	4.37e-05
8.09e-08	0	0	8.19e-09	0	8.74e-09	1.26e-08	6.97e-08	0	6.34e-08	1.76e-08	6.62e-07	0	0	1.22e-07	1.02e-08	0	1.93e-06	1.94e-09	6.62e-07	0	8.1e-08	8.23e-08	0	6.34e-06	1.69e-06	0.000115	1.01e-06	0.000232	4.9e-06	2.07e-05	0
0	0	1.4e-07	1.42e-08	0	1.65e-08	1.26e-08	6.9e-08	0	6.95e-08	9.07e-09	2.24e-07	0	1.57e-08	2.18e-08	5.01e-08	3.09e-08	0	1.48e-08	2.24e-07	1.4e-07	7.86e-08	8.16e-08	7.06e-05	1.05e-05	2.89e-05	0.000146	2.8e-06	0	4.52e-05	0.000134	0.000152
0	1.42e-08	2.15e-07	8.55e-09	0	9.29e-09	1.35e-08	4.49e-08	0	6.32e-08	2.78e-09	0	0	2.74e-08	1.39e-08	1.91e-08	1.74e-09	1.76e-06	1.74e-08	0	2.15e-07	6.6e-08	5.84e-08	3.04e-05	6.35e-05	1.79e-05	0.000105	1.43e-05	0.000102	3.77e-05	0.000148	0
0	0	0	1.01e-08	0	9.7e-09	7.73e-09	4.42e-08	0	5.23e-08	4.71e-09	2.21e-07	0	0	4.41e-08	4.28e-08	0	0	0	2.21e-07	0	5.7e-08	5.19e-08	0	3.35e-05	1.11e-05	0.000142	6.64e-06	2.64e-05	4.2e-05	0.000104	0.000215
