Asc	Asp	Cr	GABA	GPC	GSH	Gln	Glu	Lac	NAA	NAAG	PCh	PCr	PE	Tau	bHB	mI	sI	CrCH2	tCho	tCr	tNAA	Glx	Lip13a	Lip13b	Lip09	MM09	Lip20	MM20	MM12	MM14	MM17
42	25	32	92	14	11	18	29	999	4	999	999	999	55	999	999	17	999	154	14	32	4	28	999	999	368	579	999	999	999	323	492
50	999	31	91	23	12	163	31	999	4	93	999	999	17	106	50	56	999	128	23	31	2	29	17	999	35	999	207	999	999	402	999
20	130	999	111	14	7	90	119	999	5	34	999	999	43	66	19	24	75	999	14	999	2	80	13	999	107	999	114	999	999	969	321
999	104	999	94	32	8	211	152	999	2	999	999	999	30	80	20	88	999	999	32	999	2	125	14	999	23	999	999	999	915	63	999
26	264	999	116	14	5	86	124	10	2	999	999	999	15	79	187	24	44	999	14	999	2	80	999	999	999	999	999	999	999	999	999
999	106	999	125	12	7	58	36	999	4	25	999	999	102	88	43	32	999	999	12	999	2	35	13	999	13	999	13	999	999	243	999
31	124	999	111	999	7	109	82	19	4	15	999	999	48	90	65	999	29	999	999	999	2	69	21	999	34	999	35	392	707	999	999
752	103	999	120	24	7	108	18	999	4	116	999	999	26	82	16	32	50	999	24	999	2	18	6	999	71	999	26	999	999	999	999
35	171	999	112	22	9	21	80	26	2	999	999	999	29	84	26	23	999	999	22	999	2	74	10	999	28	999	142	999	999	999	999
47	93	999	116	14	8	20	34	999	2	999	999	999	35	88	29	21	168	999	14	999	2	33	12	999	12	999	12	999	999	999	999
98	112	999	117	19	9	21	26	999	2	999	999	999	16	121	70	51	999	999	19	999	2	25	7	999	7	999	7	999	999	999	999
19	132	999	116	26	7	19	999	999	2	999	999	999	28	86	38	36	999	999	26	999	2	19	15	999	23	999	31	999	999	168	70
49	61	999	77	19	8	119	42	16	4	999	999	74	181	60	46	119	92	93	19	74	4	40	513	999	513	182	513	999	244	20	999
24	999	999	999	13	7	75	40	319	5	62	999	999	26	42	21	20	999	154	13	999	2	38	26	999	27	999	27	999	999	999	999
35	88	999	91	19	6	158	30	999	2	999	999	999	33	79	30	33	999	999	19	999	2	29	6	999	89	999	53	999	999	999	999
195	129	999	108	30	8	21	42	999	4	108	999	999	22	90	35	22	72	999	30	999	2	40	15	999	15	999	15	999	999	866	999
81	100	999	116	20	10	20	48	13	4	999	999	999	22	90	88	34	45	999	20	999	4	46	29	999	29	999	29	999	999	195	999
27	117	999	108	999	8	122	46	29	4	18	999	999	121	87	46	999	55	999	999	999	2	43	22	999	32	999	68	999	999	999	999
19	89	999	110	24	6	20	37	999	3	30	999	999	19	84	21	28	63	999	24	999	2	35	6	999	37	999	66	999	999	999	999
27	236	999	247	24	6	20	36	999	3	47	999	487	29	199	17	42	44	617	24	487	2	34	5	999	5	999	5	999	999	999	999
29	154	999	105	18	9	157	999	999	5	999	999	999	36	90	99	37	115	999	18	999	3	157	18	999	18	999	18	999	999	968	999
29	999	999	307	42	9	20	51	999	4	58	999	999	29	198	63	54	999	999	42	999	2	49	18	999	41	999	78	999	999	170	999
32	86	999	114	999	6	20	999	14	3	999	999	999	22	73	38	146	30	999	999	999	3	20	28	999	49	95	47	60	120	999	999
25	104	999	116	14	6	19	47	999	2	999	999	999	25	78	17	24	999	999	14	999	2	44	5	999	41	999	35	999	999	999	999
21	999	999	999	13	7	20	28	999	2	999	999	999	23	999	38	50	999	488	13	999	2	27	6	999	6	999	6	999	999	999	999
26	118	999	103	999	15	493	70	999	4	999	999	999	10	197	43	31	999	999	999	999	3	68	13	999	13	999	13	999	999	999	999
31	111	999	119	18	6	109	42	999	3	102	999	999	26	88	21	31	61	999	18	999	2	38	6	999	48	999	39	999	999	999	999
72	333	999	119	20	8	141	199	999	3	999	999	999	16	101	23	36	999	999	20	999	2	149	6	999	6	999	6	999	999	999	999
51	999	20	70	27	9	94	999	999	6	8	999	999	60	30	46	999	999	358	27	20	4	94	5	999	50	999	35	999	999	999	999
999	105	999	112	999	8	113	999	12	5	999	999	999	24	81	999	46	47	999	999	999	5	113	18	999	39	172	29	55	171	999	18
